ID;TIME
325;13212854.04265 ns;
326;13231419.95817 ns;
327;13212778.60552 ns;
328;13353523.79829 ns;
329;13216609.13527 ns;
330;13250129.29738 ns;
331;13464988.20931 ns;
332;13292368.50142 ns;
333;13312631.28668 ns;
334;13312293.21659 ns;
335;13316018.50688 ns;
336;13310693.20440 ns;
337;13322667.21874 ns;
338;13259581.29019 ns;
339;13194818.98099 ns;
340;13219286.68767 ns;
341;13204868.88289 ns;
342;13245529.49518 ns;
343;13270094.05941 ns;
344;13330639.33998 ns;
345;13310645.70695 ns;
346;13472079.29939 ns;
347;13271090.57456 ns;
348;13231283.98508 ns;
349;13274221.68106 ns;
350;14343716.20417 ns;
351;13251929.54391 ns;
352;13279574.92322 ns;
353;13283950.27667 ns;
354;13259065.33748 ns;
355;13228878.37887 ns;
356;13235406.95012 ns;
357;13281406.83472 ns;
358;13210939.24344 ns;
359;13547717.59361 ns;
360;13213045.89510 ns;
361;13507083.05836 ns;
362;13567602.26190 ns;
363;13428428.21032 ns;
364;13378720.73054 ns;
365;13382800.85474 ns;
366;13396210.96849 ns;
367;13570800.42362 ns;
368;13663408.34647 ns;
369;13253467.15748 ns;
370;13217663.39242 ns;
371;13292816.46758 ns;
372;13256728.64914 ns;
373;13231518.67837 ns;
374;13294858.85799 ns;
375;13248875.73719 ns;
376;13444256.03747 ns;
377;13367200.27030 ns;
378;13231271.87788 ns;
379;13226673.93833 ns;
380;13318181.96923 ns;
381;14313664.28733 ns;
382;13262075.37204 ns;
383;13256706.29740 ns;
384;13243287.80174 ns;
385;13295873.99960 ns;
386;13278136.02984 ns;
387;13238211.16239 ns;
388;13225954.02598 ns;
389;13230473.73444 ns;
390;13274528.08619 ns;
391;13205756.43331 ns;
392;13482322.91639 ns;
393;13391234.91198 ns;
394;13293580.15209 ns;
395;13314185.66406 ns;
396;13353540.56209 ns;
397;13356899.84262 ns;
398;13292382.47126 ns;
399;13270348.31047 ns;
400;13273249.38029 ns;
401;13263918.45942 ns;
402;13250191.69599 ns;
403;13257158.92017 ns;
404;13301369.73411 ns;
405;13251816.85388 ns;
406;13570228.59156 ns;
407;13454791.15844 ns;
408;13375925.83150 ns;
409;13350402.93634 ns;
410;13314195.90861 ns;
411;13373041.52548 ns;
412;13352817.85578 ns;
413;13314626.17964 ns;
414;13305369.76457 ns;
415;13269267.04496 ns;
416;13296657.24188 ns;
417;13235507.53295 ns;
418;13268697.07555 ns;
419;13257194.31043 ns;
420;13237307.77949 ns;
421;13353819.95887 ns;
422;13240847.73660 ns;
423;13268675.65513 ns;
424;13358666.56154 ns;
425;13245738.11144 ns;
426;13288527.72713 ns;
427;13267513.36455 ns;
428;13296837.91846 ns;
429;13216753.49027 ns;
430;13254130.25916 ns;
431;13228897.00532 ns;
432;13214942.99918 ns;
433;13234804.38441 ns;
434;13210112.22899 ns;
435;13230324.72283 ns;
436;13231002.72566 ns;
437;13276857.32394 ns;
438;13517132.96026 ns;
439;13231821.35820 ns;
440;13321586.88456 ns;
441;13354639.52273 ns;
442;13388660.73638 ns;
443;13289636.00099 ns;
444;13379409.90925 ns;
445;13342862.94878 ns;
446;13243225.40313 ns;
447;13250809.16286 ns;
448;13210357.16683 ns;
449;13220230.11744 ns;
450;13326171.78559 ns;
451;13404383.32409 ns;
452;13413983.39719 ns;
453;13288004.32384 ns;
454;13266963.88423 ns;
455;13354063.03406 ns;
456;13274233.78825 ns;
457;13310955.83737 ns;
458;13304995.37289 ns;
459;13303876.85448 ns;
460;13268423.26671 ns;
461;13253085.31523 ns;
462;13243694.78971 ns;
463;13213786.29655 ns;
464;13250793.33037 ns;
465;13251098.80418 ns;
466;13247844.76310 ns;
467;13236207.88753 ns;
468;13273502.70003 ns;
469;13398814.01509 ns;
470;13236473.31446 ns;
471;13267735.01933 ns;
472;13247144.40852 ns;
473;13357268.64636 ns;
474;13228246.94216 ns;
475;13304109.68512 ns;
476;13842368.49844 ns;
477;13447434.64142 ns;
478;13267340.13855 ns;
479;13247848.48839 ns;
480;13253465.29484 ns;
481;13245917.85669 ns;
482;13214416.80193 ns;
483;13386137.78353 ns;
484;13213663.36197 ns;
485;13305439.61376 ns;
486;13461916.70746 ns;
487;13451488.68859 ns;
488;13296073.30263 ns;
489;13367592.35710 ns;
490;13626830.65236 ns;
491;13570379.46582 ns;
492;13545272.87185 ns;
493;13298805.80306 ns;
494;13260069.30321 ns;
495;13251625.93275 ns;
496;13459892.94350 ns;
497;13282198.45891 ns;
498;13312663.88297 ns;
499;13241910.37565 ns;
500;13393446.80309 ns;
501;13350932.85888 ns;
502;13277372.34533 ns;
503;13573896.13986 ns;
504;13306714.59436 ns;
505;13310506.00857 ns;
506;13317966.83371 ns;
507;13241724.11114 ns;
508;13209666.12548 ns;
509;13247027.06188 ns;
510;13245341.36802 ns;
511;13213558.12252 ns;
512;13242439.36688 ns;
513;13214254.75180 ns;
514;13228007.59226 ns;
515;13215495.27347 ns;
516;13564919.12156 ns;
517;13563112.35577 ns;
518;13481543.39939 ns;
519;13292737.30516 ns;
520;13310003.09438 ns;
521;13291889.80162 ns;
522;13303123.41452 ns;
523;13280068.52418 ns;
524;13439173.81018 ns;
525;13179914.09451 ns;
526;13225822.70950 ns;
527;13433663.17451 ns;
528;13216027.98998 ns;
529;13201653.95737 ns;
530;13195288.36757 ns;
531;13289894.90867 ns;
532;13345178.21670 ns;
533;13293942.43658 ns;
534;13286803.84904 ns;
535;13373986.81790 ns;
536;13296552.93375 ns;
537;13297915.45868 ns;
538;13315798.71476 ns;
539;13548332.26651 ns;
540;13307417.74291 ns;
541;13603444.21118 ns;
542;13244115.74751 ns;
543;13305153.69773 ns;
544;13338169.08300 ns;
545;13555242.68001 ns;
546;13252812.43771 ns;
