ID;HW;LENGTH;TIME
5277;227;56;13193096.96555 ns;
5278;143;37;13363434.00180 ns;
5279;500;120;13334282.67390 ns;
5280;60;14;13143210.67184 ns;
5281;53;13;13185149.99002 ns;
5282;627;154;13275508.76886 ns;
5283;436;113;13168498.87371 ns;
5284;649;163;13209520.83915 ns;
5285;598;148;13202202.97202 ns;
5286;521;131;13264745.93952 ns;
5287;317;78;13180197.21657 ns;
5288;656;162;13183207.71679 ns;
5289;746;187;13183158.82236 ns;
5290;61;16;13205851.89387 ns;
5291;643;163;13210271.01949 ns;
5292;467;112;13274374.88362 ns;
5293;354;82;13129487.63371 ns;
5294;398;102;13163093.94315 ns;
5295;207;57;13129374.94367 ns;
5296;70;17;13173467.94531 ns;
5297;663;175;13140243.94378 ns;
5298;740;189;13130260.16578 ns;
5299;288;74;13184008.18855 ns;
5300;27;6;13144103.34453 ns;
5301;177;44;13182498.98031 ns;
5302;277;62;13130723.03310 ns;
5303;421;104;13165193.14423 ns;
5304;267;62;13149172.06764 ns;
5305;503;128;13133435.04444 ns;
5306;574;150;13129268.77290 ns;
5307;231;59;13132825.02815 ns;
5308;504;118;13170944.99245 ns;
5309;449;115;13185432.18076 ns;
5310;409;102;13145293.10912 ns;
5311;227;57;13130647.59597 ns;
5312;356;92;13130877.16699 ns;
5313;391;104;13139341.95787 ns;
5314;296;71;13150109.90947 ns;
5315;29;8;13151525.05413 ns;
5316;46;12;13203062.11710 ns;
5317;35;10;13142718.93352 ns;
5318;286;74;13162679.97026 ns;
5319;114;28;13213489.20465 ns;
5320;764;187;13129498.80958 ns;
5321;18;5;13142102.86364 ns;
5322;345;85;13384595.97901 ns;
5323;782;189;13171573.16953 ns;
5324;196;47;13199075.12516 ns;
5325;718;180;13130438.97972 ns;
5326;258;61;13129423.83811 ns;
5327;284;66;13142746.87320 ns;
5328;267;65;13143070.04213 ns;
5329;427;107;13145501.72538 ns;
5330;318;77;13182844.03533 ns;
5331;477;118;13133538.42124 ns;
5332;589;143;13143156.18947 ns;
5333;247;60;13126052.91605 ns;
5334;42;10;13148721.77318 ns;
5335;167;41;13143016.02542 ns;
5336;664;167;13189279.00866 ns;
5337;195;51;13168144.03981 ns;
5338;454;120;13207484.03668 ns;
5339;221;56;13150042.85425 ns;
5340;217;54;13133204.07644 ns;
5341;263;64;13128977.73460 ns;
5342;47;9;13141775.96942 ns;
5343;298;79;13143815.56585 ns;
5344;476;124;13133555.18505 ns;
5345;661;169;13182545.08078 ns;
5346;366;90;13129699.04393 ns;
5347;296;70;13144082.38977 ns;
5348;171;39;13146198.82032 ns;
5349;136;33;13206492.17814 ns;
5350;352;84;13130436.65141 ns;
5351;128;32;13467956.80001 ns;
5352;581;134;13226567.76756 ns;
5353;146;36;13142292.85344 ns;
5354;140;33;13144035.35798 ns;
5355;587;157;13129570.98708 ns;
5356;187;46;13206142.00085 ns;
5357;123;31;13130899.98439 ns;
5358;16;5;13175972.73737 ns;
5359;261;62;13133071.82863 ns;
5360;262;64;13218874.11177 ns;
5361;285;73;13143466.78555 ns;
5362;315;79;13144871.21999 ns;
5363;235;59;13129437.34229 ns;
5364;176;42;13144668.19167 ns;
5365;162;43;13165758.92270 ns;
5366;457;110;13144143.39140 ns;
5367;471;119;13180349.02215 ns;
5368;252;61;13130415.23099 ns;
5369;207;49;13131150.04450 ns;
5370;444;112;13143613.93452 ns;
5371;672;165;13145958.07344 ns;
5372;254;62;13128941.87868 ns;
5373;0;0;13127485.75583 ns;
5374;100;25;13230528.21681 ns;
5375;218;48;13211003.97035 ns;
5376;175;45;13150947.16847 ns;
5377;287;73;13251731.17220 ns;
5378;20;5;13144319.87703 ns;
5379;502;128;13137093.27951 ns;
5380;414;105;13144028.83872 ns;
5381;256;67;13337652.66463 ns;
5382;699;171;13183807.02287 ns;
5383;539;133;13147082.17978 ns;
5384;634;167;13144718.94875 ns;
5385;141;37;13145238.16109 ns;
5386;64;15;13146338.98437 ns;
5387;734;182;13130499.05002 ns;
5388;442;112;13150583.02134 ns;
5389;693;170;13186349.06784 ns;
5390;449;107;13141479.34318 ns;
5391;498;124;13130572.15884 ns;
5392;409;107;13144154.10161 ns;
5393;315;86;13132381.71861 ns;
5394;141;36;13148630.03790 ns;
5395;520;121;13150785.58400 ns;
5396;440;112;13241252.39626 ns;
5397;62;15;13268223.96368 ns;
5398;368;92;13226726.09240 ns;
5399;267;63;13131034.09484 ns;
5400;421;105;13182773.72047 ns;
5401;399;94;13167162.89148 ns;
5402;470;111;13183662.66787 ns;
5403;410;103;13185421.00489 ns;
5404;128;31;13211222.36550 ns;
5405;678;175;13180758.80408 ns;
5406;116;27;13129399.15806 ns;
5407;371;91;13171696.10411 ns;
5408;77;19;13171058.14815 ns;
5409;361;88;13218494.13216 ns;
5410;472;118;13313825.24222 ns;
5411;3;1;13289561.02952 ns;
5412;57;16;13577534.81716 ns;
5413;587;142;13145378.32513 ns;
5414;278;66;13186038.93742 ns;
5415;408;100;13186665.71751 ns;
5416;697;175;13208406.97736 ns;
5417;64;13;13188777.02579 ns;
5418;42;9;13187614.73522 ns;
5419;527;135;13187635.22431 ns;
5420;259;60;13176314.99842 ns;
5421;66;18;13176337.81582 ns;
5422;698;176;13244946.02159 ns;
5423;15;5;13145429.08221 ns;
5424;10;2;13147042.13291 ns;
5425;738;187;13173093.08797 ns;
5426;704;172;13185573.27613 ns;
5427;249;64;13132226.18774 ns;
5428;439;109;13141280.04014 ns;
5429;518;128;13277953.95628 ns;
5430;649;171;13147103.13454 ns;
5431;196;51;13150285.92944 ns;
5432;464;117;13129234.77963 ns;
5433;220;61;13183218.42700 ns;
5434;496;122;13145192.06062 ns;
5435;668;169;13143843.03987 ns;
5436;528;138;13149269.85651 ns;
5437;737;177;13132726.77362 ns;
5438;475;119;13157996.81470 ns;
5439;49;11;13144571.33412 ns;
5440;672;167;13289088.84898 ns;
5441;399;103;13166222.72134 ns;
5442;591;146;13134472.07212 ns;
5443;81;22;13208644.93027 ns;
5444;26;5;13142305.89196 ns;
5445;492;118;13132116.29167 ns;
5446;372;93;13131191.95402 ns;
5447;37;9;13142761.30870 ns;
5448;122;29;13172813.22554 ns;
5449;653;166;13143683.31805 ns;
5450;592;150;13207845.85550 ns;
5451;112;29;13136454.85789 ns;
5452;159;42;13209470.08207 ns;
5453;327;79;13191692.99677 ns;
5454;523;132;13191649.22461 ns;
5455;492;124;13228957.07563 ns;
5456;309;82;13180712.70362 ns;
5457;629;169;13146069.83215 ns;
5458;40;10;13145558.07039 ns;
5459;631;160;13170871.88363 ns;
5460;410;107;13185932.76665 ns;
5461;379;96;13177860.06257 ns;
5462;664;167;13194964.73297 ns;
5463;311;79;13227918.65095 ns;
5464;29;8;13151810.03883 ns;
5465;45;13;13189665.04186 ns;
5466;407;98;13187157.92149 ns;
5467;702;176;13186205.17850 ns;
5468;752;189;13179020.02484 ns;
5469;45;13;13375767.97232 ns;
5470;563;137;13207613.95618 ns;
5471;487;122;13207356.91115 ns;
5472;588;151;13177582.99410 ns;
5473;512;132;13187963.04986 ns;
5474;138;31;13174479.82728 ns;
5475;507;127;13170788.06460 ns;
5476;722;179;13188553.97403 ns;
5477;183;49;13130948.87882 ns;
5478;402;106;13143803.92432 ns;
5479;476;123;13131941.66869 ns;
5480;254;66;13203632.08652 ns;
5481;420;102;13144926.16802 ns;
5482;488;114;13131232.93221 ns;
5483;670;167;13232435.09978 ns;
5484;520;123;13186566.06600 ns;
5485;290;75;13221418.01938 ns;
5486;94;24;13152610.97625 ns;
5487;145;39;13142955.95512 ns;
5488;655;169;13146165.75837 ns;
5489;292;75;13142501.93536 ns;
5490;68;18;13130635.02312 ns;
5491;129;33;13202293.31031 ns;
5492;212;51;13167676.05022 ns;
5493;201;50;13133344.24049 ns;
5494;431;109;13143954.33292 ns;
5495;692;164;13144946.19146 ns;
5496;751;186;13880881.94653 ns;
5497;125;32;13242143.67196 ns;
5498;155;39;13508775.73714 ns;
5499;227;61;13253172.39389 ns;
5500;507;126;13216472.23085 ns;
5501;187;44;13143911.02642 ns;
5502;694;188;13287423.17855 ns;
5503;679;171;13227382.20915 ns;
5504;655;161;13187318.10898 ns;
5505;614;161;13248798.90308 ns;
5506;100;23;13191682.75222 ns;
5507;670;164;13342930.93532 ns;
5508;464;119;13132045.04550 ns;
5509;538;134;13188666.19840 ns;
5510;565;147;13181052.17069 ns;
5511;217;52;13178837.95127 ns;
5512;301;76;13205173.89104 ns;
5513;311;74;13188553.97403 ns;
5514;235;63;13153620.06426 ns;
5515;35;8;13220128.13762 ns;
5516;588;147;13249717.65280 ns;
5517;32;10;13210901.99053 ns;
5518;461;115;13236199.97129 ns;
5519;137;35;13229301.19932 ns;
5520;648;156;13201435.09656 ns;
5521;575;147;13171858.15424 ns;
5522;711;181;13244371.86122 ns;
5523;574;135;13222835.02668 ns;
5524;170;49;13191691.13412 ns;
5525;155;41;13181969.98909 ns;
5526;246;66;13182988.85599 ns;
5527;143;36;13184428.68069 ns;
5528;111;24;13304350.89767 ns;
5529;713;181;13191314.87980 ns;
5530;327;81;13132983.81865 ns;
5531;73;16;13183325.99476 ns;
5532;81;19;13169329.61345 ns;
5533;543;141;13182106.89351 ns;
5534;327;87;13192661.10659 ns;
5535;416;107;13170587.36458 ns;
5536;280;68;13207003.00857 ns;
5537;331;82;13130522.79875 ns;
5538;408;99;13178167.86468 ns;
5539;241;57;13276846.14807 ns;
5540;731;183;13166669.75617 ns;
5541;729;175;13204219.75106 ns;
5542;436;104;13188137.20718 ns;
5543;304;71;13263389.00253 ns;
5544;334;84;13194754.25407 ns;
5545;219;56;13189365.15599 ns;
5546;539;137;13142797.16462 ns;
5547;192;46;13143235.81755 ns;
5548;392;94;13129625.00378 ns;
5549;747;187;13132398.01675 ns;
5550;350;86;13148776.25555 ns;
5551;496;124;13420504.05219 ns;
5552;471;117;13130192.17923 ns;
5553;41;11;13143156.18947 ns;
5554;484;120;13133066.70636 ns;
5555;2;1;13142367.35925 ns;
5556;640;160;13150679.87889 ns;
5557;652;159;13316500.93198 ns;
5558;797;189;13307058.71806 ns;
5559;737;186;13218107.16763 ns;
5560;152;37;13143207.87787 ns;
5561;431;107;13182980.00842 ns;
5562;5;1;13223154.93599 ns;
5563;11;3;13184607.02896 ns;
5564;292;71;13186214.02606 ns;
5565;277;68;13222981.24433 ns;
5566;333;88;13213620.05547 ns;
5567;493;124;13130767.73658 ns;
5568;572;144;13185233.34339 ns;
5569;736;187;13234177.13866 ns;
5570;165;41;13185010.29164 ns;
5571;617;148;13255754.02007 ns;
5572;278;67;13187494.12894 ns;
5573;197;48;13262394.81568 ns;
5574;608;153;13212867.08117 ns;
5575;368;89;13212834.01921 ns;
5576;494;126;13278091.32636 ns;
5577;105;29;13212866.14984 ns;
5578;93;25;13196265.79061 ns;
5579;286;72;13153536.24523 ns;
5580;346;86;13230185.02444 ns;
5581;561;135;13299528.97504 ns;
5582;719;168;13227502.34976 ns;
5583;722;184;13212775.34589 ns;
5584;172;47;13222930.95291 ns;
5585;691;175;13189084.82790 ns;
5586;155;41;13183843.81011 ns;
5587;633;162;13323822.99006 ns;
5588;132;34;13207491.95293 ns;
5589;129;33;13180781.62149 ns;
5590;344;91;13190055.73168 ns;
5591;399;106;13144658.87845 ns;
5592;449;109;13142704.03236 ns;
5593;276;75;13189340.94161 ns;
5594;137;32;13207761.10515 ns;
5595;507;126;13232029.97446 ns;
5596;125;30;13169345.91159 ns;
5597;291;72;13266206.25332 ns;
5598;246;58;13134968.00140 ns;
5599;282;70;13184689.91667 ns;
5600;163;36;13148413.97107 ns;
5601;203;48;13205419.76020 ns;
5602;342;87;13286913.27944 ns;
5603;304;74;13196534.01151 ns;
5604;611;160;13132282.99841 ns;
5605;263;63;13132072.98517 ns;
5606;451;113;13129087.63066 ns;
5607;45;12;13143123.12752 ns;
5608;698;173;13143558.98649 ns;
5609;437;105;13191161.67724 ns;
5610;646;164;13186469.20845 ns;
5611;168;40;13142528.94372 ns;
5612;265;69;13143096.11917 ns;
5613;287;72;13146227.22566 ns;
5614;433;105;13143670.27953 ns;
5615;586;142;13145790.90104 ns;
5616;314;81;13335098.97813 ns;
5617;783;188;13248506.93345 ns;
5618;729;174;13220907.65461 ns;
5619;127;29;13226323.29538 ns;
5620;235;61;13211210.72397 ns;
5621;120;30;13171267.69572 ns;
5622;713;175;13182246.12623 ns;
5623;640;157;13130019.88456 ns;
5624;477;118;13209353.20109 ns;
5625;344;81;13193742.83776 ns;
5626;523;130;13185659.88913 ns;
5627;511;127;13171859.08556 ns;
5628;73;18;13171138.70755 ns;
5629;640;171;13162712.10089 ns;
5630;604;148;13197410.85172 ns;
5631;713;174;13346433.17387 ns;
5632;318;71;13247511.34962 ns;
5633;646;169;13182058.93040 ns;
5634;639;161;13182196.30048 ns;
5635;46;15;13184632.17467 ns;
5636;598;148;13129069.93553 ns;
5637;74;15;13182491.06407 ns;
5638;327;78;13191794.97659 ns;
5639;201;48;13248237.31557 ns;
5640;743;182;13170231.13370 ns;
5641;713;174;13240183.23794 ns;
5642;732;178;13192395.21399 ns;
5643;541;139;13181019.10874 ns;
5644;567;143;13233381.78918 ns;
5645;168;46;13475524.26159 ns;
5646;539;133;13295311.94642 ns;
5647;369;92;13224646.91475 ns;
5648;293;74;13185650.11024 ns;
5649;431;115;13258626.21889 ns;
5650;146;35;13205270.28292 ns;
5651;310;76;13243916.91014 ns;
5652;59;14;13223310.93252 ns;
5653;753;183;13292665.12766 ns;
5654;97;26;13210178.81855 ns;
5655;487;116;13130590.31963 ns;
5656;133;32;13153677.80626 ns;
5657;618;152;13314619.66038 ns;
5658;43;12;13188708.10792 ns;
5659;339;80;13306476.17579 ns;
5660;291;73;13147180.89998 ns;
5661;94;22;13196769.63612 ns;
5662;248;64;13129503.00053 ns;
5663;330;78;13254360.76149 ns;
5664;35;10;13147546.90975 ns;
5665;278;72;13144640.71766 ns;
5666;316;80;13149824.45911 ns;
5667;11;4;13146282.17369 ns;
5668;707;173;13222781.00997 ns;
5669;153;36;13145049.10260 ns;
5670;298;74;13220987.74835 ns;
5671;356;82;13131231.06956 ns;
5672;674;163;13207904.06317 ns;
5673;317;81;13172056.99161 ns;
5674;12;3;13187148.14261 ns;
5675;46;13;13371493.20170 ns;
5676;557;142;13233028.81792 ns;
5677;372;87;13132227.11906 ns;
5678;194;52;13169179.67051 ns;
5679;741;185;13152434.95628 ns;
5680;163;43;13187270.61152 ns;
5681;14;5;13189007.06246 ns;
5682;598;152;13182975.81747 ns;
5683;117;28;13208640.27366 ns;
5684;711;173;13141985.05133 ns;
5685;758;185;13170300.98289 ns;
5686;704;172;13190757.94891 ns;
5687;508;127;13176881.70820 ns;
5688;32;8;13187378.17928 ns;
5689;468;113;13241173.23384 ns;
5690;74;18;13291215.05842 ns;
5691;405;109;13248267.11789 ns;
5692;726;182;13273871.03811 ns;
5693;353;84;13211175.33371 ns;
5694;204;49;13213742.99005 ns;
5695;400;99;13228984.08398 ns;
5696;511;128;13130471.11034 ns;
5697;615;154;13210795.81976 ns;
5698;595;147;13217015.19191 ns;
5699;290;73;13187657.11039 ns;
5700;329;83;13173234.18334 ns;
5701;474;115;13176504.05690 ns;
5702;691;179;13133747.03750 ns;
5703;703;172;13205217.66320 ns;
5704;331;81;13300324.79018 ns;
5705;91;26;13315731.65953 ns;
5706;217;55;13193989.17258 ns;
5707;191;47;13188702.05432 ns;
5708;686;174;13187168.16604 ns;
5709;622;154;13130662.96279 ns;
5710;368;94;13171981.08882 ns;
5711;672;165;13243609.10803 ns;
5712;442;114;13253786.13546 ns;
5713;518;126;13173820.91656 ns;
5714;19;4;13191570.99351 ns;
5715;479;117;13143166.89968 ns;
5716;374;93;13234020.21080 ns;
5717;361;89;13131582.17818 ns;
5718;439;112;13286083.00537 ns;
5719;208;54;13133295.81171 ns;
5720;405;99;13225759.37957 ns;
5721;164;37;13143091.92821 ns;
5722;514;130;13145513.83257 ns;
5723;244;60;13199384.78991 ns;
5724;370;94;13133588.71266 ns;
5725;617;156;13154848.01307 ns;
5726;257;64;13128856.66266 ns;
5727;323;88;13193475.08252 ns;
5728;9;4;13186607.97551 ns;
5729;511;126;13132282.06709 ns;
5730;106;25;13133595.69758 ns;
5731;127;32;13145363.88963 ns;
5732;159;41;13181901.07122 ns;
5733;303;82;13275193.05050 ns;
5734;616;158;13170930.09129 ns;
5735;3;1;13150127.13894 ns;
5736;675;167;13144090.30601 ns;
5737;81;20;13150805.14178 ns;
5738;503;125;13130614.99968 ns;
5739;589;147;13130409.64305 ns;
5740;176;43;13145736.88433 ns;
5741;432;113;13129814.99359 ns;
5742;331;86;13209339.69691 ns;
5743;159;42;13145471.92305 ns;
5744;478;123;13148187.65968 ns;
5745;597;143;13143189.25142 ns;
5746;93;22;13155071.99615 ns;
5747;344;86;13132802.67641 ns;
5748;255;59;13135712.12813 ns;
5749;698;176;13247752.09650 ns;
5750;294;78;13168056.02983 ns;
5751;43;10;13144959.22998 ns;
5752;209;51;13131485.78629 ns;
5753;706;178;13132357.96988 ns;
5754;130;30;13132053.89306 ns;
5755;0;0;13299271.93001 ns;
5756;346;82;13712132.81527 ns;
5757;771;184;14101007.95329 ns;
5758;535;135;13186130.20703 ns;
5759;20;4;13184073.84679 ns;
5760;68;18;13275351.84100 ns;
5761;246;68;13185207.26636 ns;
5762;620;156;13136751.94979 ns;
5763;493;127;13326533.13875 ns;
5764;386;93;13781304.00553 ns;
5765;140;34;13357804.15684 ns;
5766;211;54;13246095.27364 ns;
5767;685;171;13186865.95187 ns;
5768;403;97;13222374.02201 ns;
5769;212;59;13242721.09196 ns;
5770;49;11;13187838.25263 ns;
5771;447;111;13267799.28058 ns;
5772;426;113;13170958.03097 ns;
5773;111;27;13168924.95379 ns;
5774;64;16;13166945.89332 ns;
5775;197;50;13169367.79767 ns;
5776;437;111;13204009.27216 ns;
5777;20;5;13227086.04857 ns;
5778;537;127;13415398.07618 ns;
5779;647;162;13202581.08899 ns;
5780;271;72;13187106.69875 ns;
5781;749;188;13208791.14792 ns;
5782;593;150;13128737.91903 ns;
5783;648;170;13140359.89344 ns;
5784;422;109;13143420.21942 ns;
5785;733;186;13133959.84471 ns;
5786;424;109;13222690.67168 ns;
5787;419;104;13143334.07208 ns;
5788;652;168;13144067.02295 ns;
5789;263;65;13204569.92835 ns;
5790;368;90;13127926.73707 ns;
5791;298;72;13248411.00723 ns;
5792;748;189;13261364.77292 ns;
5793;303;73;13252928.85303 ns;
5794;23;5;13189433.14254 ns;
5795;645;167;13188621.96058 ns;
5796;557;142;13230910.99039 ns;
5797;586;144;13185454.99817 ns;
5798;118;31;13199208.30429 ns;
5799;526;131;13169810.17590 ns;
5800;106;26;13233199.71561 ns;
5801;407;98;13218519.27787 ns;
5802;224;56;13175113.12664 ns;
5803;92;23;13175678.90510 ns;
5804;565;141;13187884.81876 ns;
5805;475;122;13179630.97245 ns;
5806;592;144;13200784.10208 ns;
5807;501;128;13173350.13300 ns;
5808;411;95;13346509.07665 ns;
5809;576;152;13305954.63514 ns;
5810;224;56;13321876.99154 ns;
5811;486;127;13332514.09233 ns;
5812;524;134;13303744.60667 ns;
5813;543;142;13317606.87754 ns;
5814;581;142;13310031.03405 ns;
5815;568;137;13382240.19855 ns;
5816;61;15;13238844.92740 ns;
5817;174;41;13241789.76938 ns;
5818;531;137;13199052.77342 ns;
5819;680;171;13284899.29438 ns;
5820;266;62;13258805.96414 ns;
5821;273;71;13457049.15002 ns;
5822;599;152;13332790.69513 ns;
5823;243;61;13268026.98895 ns;
5824;266;67;13282167.25960 ns;
5825;56;15;13183814.00779 ns;
5826;446;112;13157546.98589 ns;
5827;715;178;13131231.06956 ns;
5828;670;163;13277570.71704 ns;
5829;32;9;13233997.85906 ns;
5830;465;115;13223362.15526 ns;
5831;488;124;13199163.13514 ns;
5832;309;76;13281101.82658 ns;
5833;668;179;13258250.89589 ns;
5834;658;163;13277858.96137 ns;
5835;277;75;13268703.59480 ns;
5836;165;43;13338234.74124 ns;
5837;288;72;13329274.95241 ns;
5838;703;180;13257510.96010 ns;
5839;358;90;13281707.65191 ns;
5840;612;157;13128172.14057 ns;
5841;564;148;13129743.74741 ns;
5842;441;114;13189036.86479 ns;
5843;614;155;13131659.94361 ns;
5844;713;187;13208562.97389 ns;
5845;52;13;13143049.08738 ns;
5846;568;137;13145948.76021 ns;
5847;696;167;13145429.08221 ns;
5848;743;174;13144804.63043 ns;
5849;628;160;13150017.24288 ns;
5850;151;37;13147013.26191 ns;
5851;11;3;13441329.82194 ns;
5852;91;26;13191274.83293 ns;
5853;704;168;13211116.19473 ns;
5854;601;145;13169276.06240 ns;
5855;161;40;13205122.20263 ns;
5856;716;178;13169761.74712 ns;
5857;519;133;13188552.57705 ns;
5858;398;97;13189846.64977 ns;
5859;663;168;13220606.83742 ns;
5860;454;113;13234040.23424 ns;
5861;129;31;13170405.29102 ns;
5862;758;185;13234368.99111 ns;
5863;199;50;13173649.08755 ns;
5864;165;43;13186681.08433 ns;
5865;250;56;13193577.99366 ns;
5866;398;102;13265868.18323 ns;
5867;682;172;13184372.33567 ns;
5868;465;114;13172576.66960 ns;
5869;254;63;13253419.66003 ns;
5870;475;121;13277491.55462 ns;
5871;230;55;13129939.32515 ns;
5872;12;4;13167261.14601 ns;
5873;621;152;13177442.83006 ns;
5874;526;129;13227401.76693 ns;
5875;463;112;13220584.95134 ns;
5876;13;3;13196600.60108 ns;
5877;54;12;13263263.73965 ns;
5878;334;81;13163181.02181 ns;
5879;478;112;13205329.88757 ns;
5880;281;70;13294893.78259 ns;
5881;676;164;13277098.07083 ns;
5882;335;86;13132445.04854 ns;
5883;735;180;13154530.89774 ns;
5884;550;139;13143036.04886 ns;
5885;124;30;13149437.02891 ns;
5886;110;26;13132106.97845 ns;
5887;266;62;13131598.01066 ns;
5888;596;157;13208196.96411 ns;
5889;612;156;13129537.92512 ns;
5890;185;51;13152598.86906 ns;
5891;56;13;13166179.88050 ns;
5892;507;124;13153142.29578 ns;
5893;380;88;13148465.65947 ns;
5894;3;1;13142241.16504 ns;
5895;702;170;13143705.20413 ns;
5896;62;14;13254505.11649 ns;
5897;424;108;13146816.75285 ns;
5898;81;19;13135446.70120 ns;
5899;621;158;13127823.36026 ns;
5900;604;150;13131543.06263 ns;
5901;369;94;13216182.12387 ns;
5902;726;183;13141257.22274 ns;
5903;598;141;13226346.11279 ns;
5904;487;115;13131816.87146 ns;
5905;542;129;13147246.09256 ns;
5906;463;114;13131975.19630 ns;
5907;627;157;13149187.90013 ns;
5908;213;54;13132781.25599 ns;
5909;570;147;13338809.83293 ns;
5910;615;156;13315213.84418 ns;
5911;556;142;13287023.17551 ns;
5912;490;121;13154373.96988 ns;
5913;446;109;13338914.14106 ns;
5914;328;78;13164415.95554 ns;
5915;394;95;13180367.18294 ns;
5916;351;89;13487976.04442 ns;
5917;316;78;13482613.95469 ns;
5918;602;150;13546870.09007 ns;
5919;292;72;13284213.84096 ns;
5920;375;91;13174562.71499 ns;
5921;100;26;13151396.06595 ns;
5922;570;147;13178796.04176 ns;
5923;512;126;13485880.10296 ns;
5924;74;21;13228015.04284 ns;
5925;644;168;13412312.13883 ns;
5926;655;152;13178538.06540 ns;
5927;315;84;13149925.04194 ns;
5928;574;147;13148740.39963 ns;
5929;224;56;13150798.15686 ns;
5930;493;125;13467930.72298 ns;
5931;29;8;13168400.15352 ns;
5932;276;70;13272212.81826 ns;
5933;517;133;13187455.01339 ns;
5934;62;16;13167057.65203 ns;
5935;144;33;13260758.94758 ns;
5936;43;10;13145539.90960 ns;
5937;298;72;13144776.69075 ns;
5938;702;175;13318342.15671 ns;
5939;381;95;13555828.94757 ns;
5940;503;123;13211135.28684 ns;
5941;166;43;13143416.02847 ns;
5942;702;171;13143090.99689 ns;
5943;192;43;13274588.15649 ns;
5944;167;43;13182700.14599 ns;
5945;670;166;13188371.90047 ns;
5946;342;86;13130637.35142 ns;
5947;387;101;13225130.73683 ns;
5948;404;104;13268408.83121 ns;
5949;700;173;13163001.74221 ns;
5950;504;130;13145103.11931 ns;
5951;19;4;13189814.05348 ns;
5952;0;0;13228825.75914 ns;
5953;470;112;13143529.18416 ns;
5954;266;61;13207671.23252 ns;
5955;752;184;13134825.04338 ns;
5956;700;174;13166420.62739 ns;
5957;360;86;13131429.90693 ns;
5958;544;132;13166340.99931 ns;
5959;273;65;13146623.03776 ns;
5960;282;75;13146287.29597 ns;
5961;223;56;13131601.73595 ns;
5962;663;163;13222201.72733 ns;
5963;370;96;13132764.02652 ns;
5964;113;31;13129497.41259 ns;
5965;29;7;13145538.04696 ns;
5966;421;104;13140662.10762 ns;
5967;406;104;13144711.03251 ns;
5968;334;82;13278763.74125 ns;
5969;362;87;13210352.04455 ns;
5970;493;129;13147292.19303 ns;
5971;183;47;13144333.84687 ns;
5972;400;97;13145712.66994 ns;
5973;144;34;13141207.86265 ns;
5974;193;52;13132077.17612 ns;
5975;687;170;13191076.92689 ns;
5976;266;66;13183793.98435 ns;
5977;419;104;13221308.12332 ns;
5978;399;99;13141777.83206 ns;
5979;320;81;13231979.68304 ns;
5980;208;50;13134130.27674 ns;
5981;74;20;13134066.01548 ns;
5982;439;101;13165052.98018 ns;
5983;426;104;13181798.16008 ns;
5984;97;28;13208273.79823 ns;
5985;498;128;13131752.14455 ns;
5986;547;139;13164579.86832 ns;
5987;147;36;13179709.66920 ns;
5988;389;98;13145309.87293 ns;
5989;242;60;13130215.92796 ns;
5990;552;139;13146402.77997 ns;
5991;246;58;13208241.66760 ns;
5992;691;167;13143449.09042 ns;
5993;631;154;13131747.02227 ns;
5994;467;119;13130287.17414 ns;
5995;40;12;13146998.82641 ns;
5996;714;176;13164503.96553 ns;
5997;489;119;13128864.11324 ns;
5998;436;107;13516319.91565 ns;
5999;597;154;13196780.81200 ns;
6000;202;53;13132629.91607 ns;
6001;446;111;13145992.99803 ns;
6002;472;116;13129970.05880 ns;
6003;54;15;13145493.80913 ns;
6004;165;37;13141488.65640 ns;
6005;736;182;13134622.01506 ns;
6006;318;81;13209944.12526 ns;
6007;662;163;13145349.91980 ns;
6008;377;94;13191305.10092 ns;
6009;630;153;13172974.81000 ns;
6010;392;95;13130221.05023 ns;
6011;770;188;13173390.64553 ns;
6012;776;179;13129740.02212 ns;
6013;183;42;13221775.18159 ns;
6014;155;41;13144428.84177 ns;
6015;574;148;13131016.86537 ns;
6016;765;183;13189393.09567 ns;
6017;313;78;13143662.82895 ns;
6018;489;121;13150647.74826 ns;
6019;212;54;13130980.07813 ns;
6020;125;29;13190790.07953 ns;
6021;389;97;13183048.92629 ns;
6022;162;44;13171210.88505 ns;
6023;487;127;13131295.33082 ns;
6024;371;88;13142330.10635 ns;
6025;184;45;13192716.05462 ns;
6026;45;11;13144836.76106 ns;
6027;540;127;13262749.18392 ns;
6028;504;135;13203720.09650 ns;
6029;612;154;13130743.98786 ns;
6030;84;20;13172376.90091 ns;
6031;408;100;13145854.23097 ns;
6032;357;90;13129655.27177 ns;
6033;229;57;13131971.93667 ns;
6034;119;28;13130388.22263 ns;
6035;638;166;13220948.63281 ns;
6036;413;108;13145794.16066 ns;
6037;229;57;13149046.80476 ns;
6038;727;181;13132103.71882 ns;
6039;212;53;13130146.07877 ns;
6040;629;159;13129726.98361 ns;
6041;435;111;13202828.82079 ns;
6042;556;135;13143151.99852 ns;
6043;521;123;13212013.05836 ns;
6044;372;96;13129431.75435 ns;
6045;248;60;13134073.93172 ns;
6046;397;99;13142873.99873 ns;
6047;0;0;13131978.45593 ns;
6048;547;141;13142771.08759 ns;
6049;542;141;13190189.84213 ns;
6050;203;50;13208154.58894 ns;
6051;416;98;13143349.90457 ns;
6052;699;175;13143392.27974 ns;
