ID;HW;LENGTH;TIME
285;29;6;13144880.06756 ns;
286;95;23;13132244.81419 ns;
287;517;129;13141843.02464 ns;
288;59;16;13182166.96382 ns;
289;631;159;13230137.06133 ns;
290;623;158;13153083.15679 ns;
291;240;57;13208753.89501 ns;
292;174;41;13147313.14778 ns;
293;687;172;13140832.07399 ns;
294;612;150;13132276.01349 ns;
295;285;68;13142197.85854 ns;
296;79;20;13128714.17031 ns;
297;456;118;13130676.00131 ns;
298;271;65;13140910.77074 ns;
299;428;107;14409387.94985 ns;
300;540;135;13146640.26722 ns;
301;59;18;13132713.26944 ns;
302;307;73;13259107.71266 ns;
303;722;176;13169885.14736 ns;
304;512;124;13129805.68036 ns;
305;748;186;13168957.08442 ns;
306;532;129;13246634.04375 ns;
307;73;18;13130097.64999 ns;
308;117;34;13185814.02302 ns;
309;473;118;13130851.08995 ns;
310;501;127;13153763.95360 ns;
311;430;107;13142071.19867 ns;
312;96;25;13289546.12836 ns;
313;764;185;13191874.13901 ns;
314;288;68;13143252.11570 ns;
315;712;177;13140707.27676 ns;
316;308;80;13269135.26282 ns;
317;683;170;13145007.19309 ns;
318;234;56;13136856.72358 ns;
319;592;144;13194686.26752 ns;
320;22;4;13164828.99711 ns;
321;388;98;13225597.32944 ns;
322;150;40;13170273.04322 ns;
323;582;147;13149994.89114 ns;
324;244;63;13133652.04260 ns;
325;641;155;13151767.19800 ns;
326;100;25;13153312.26215 ns;
327;424;106;13246154.87829 ns;
328;329;86;13283846.89987 ns;
329;654;159;13244329.95170 ns;
330;227;54;13150622.13689 ns;
331;250;58;13155891.09436 ns;
332;379;92;13156388.88627 ns;
333;472;118;13167258.81770 ns;
334;611;159;13127580.28507 ns;
335;226;60;13281700.20133 ns;
336;409;100;13162035.96070 ns;
337;545;137;13160261.79120 ns;
338;503;127;13149945.99670 ns;
339;133;35;13159827.79488 ns;
340;574;142;13165742.15889 ns;
341;178;42;13309432.19364 ns;
342;533;131;13218488.07856 ns;
343;551;132;13241786.97541 ns;
344;567;147;13144562.95222 ns;
345;60;17;13208888.00547 ns;
346;223;58;13147931.08031 ns;
347;173;40;13160249.21834 ns;
348;495;124;13183672.91242 ns;
349;279;72;13159332.79693 ns;
350;406;98;13235396.23991 ns;
351;304;73;13159656.89719 ns;
352;622;155;13161786.83192 ns;
353;20;6;13145694.04349 ns;
354;574;146;13134130.74240 ns;
355;168;43;13150894.08308 ns;
356;264;66;13143513.81734 ns;
357;425;112;13204253.27867 ns;
358;375;97;13144549.91370 ns;
359;416;110;13143321.96489 ns;
360;286;71;13139996.21198 ns;
361;357;88;13154004.70048 ns;
362;382;90;13281445.01895 ns;
363;621;152;13150695.24571 ns;
364;716;189;13151506.89334 ns;
