ID;HW;LENGTH;TIME;
17067;402;100;13118426.31549;
17068;124;31;13110446.74367;
17069;611;154;13114677.74212;
17070;219;56;13113089.83713;
17071;282;75;13117928.98923;
17072;373;100;13120171.61399;
17073;71;17;13114133.84974;
17074;149;42;13124020.77019;
17075;347;89;13111546.63563;
17076;233;63;13112402.52107;
17077;473;118;13124726.71270;
17078;75;22;13114200.90497;
17079;573;143;13125116.93686;
17080;410;102;13119697.57080;
17081;90;24;13113239.78007;
17082;433;107;13120830.99037;
17083;628;163;13119660.31790;
17084;673;168;13120743.44605;
17085;587;147;13109588.06425;
17086;80;22;13111042.79011;
17087;685;170;13122151.60578;
17088;214;58;13114601.37367;
17089;643;158;13113989.49474;
17090;286;73;13127234.76440;
17091;713;178;13112759.21762;
17092;178;45;13121307.82753;
17093;566;138;13124573.97580;
17094;491;122;13119112.70022;
17095;66;15;13143636.28626;
17096;429;107;13123606.33165;
17097;314;82;13114304.28177;
17098;248;66;13123154.64020;
17099;485;116;13118001.63239;
17100;650;162;13130009.17435;
17101;138;32;13112605.54940;
17102;463;112;13121732.51063;
17103;707;179;13115949.92876;
17104;287;73;13122982.34552;
17105;433;107;13121574.18579;
17106;92;23;13112916.61114;
17107;499;125;13121567.66653;
17108;718;186;13136266.73073;
17109;708;179;13120432.38431;
17110;719;172;13120567.42609;
17111;481;115;13122733.68239;
17112;649;168;13122461.73620;
17113;323;82;13116123.15476;
17114;189;53;13113120.57078;
17115;504;124;13116841.20446;
17116;326;83;13117420.48711;
17117;480;127;13144261.20371;
17118;163;40;13123813.08526;
17119;640;162;13124449.17858;
17120;570;141;13127373.53146;
17121;513;127;13120380.23025;
17122;302;72;13127898.79739;
17123;429;109;13118659.14613;
17124;272;64;13113273.30768;
17125;364;95;13117399.99801;
17126;376;98;13122716.91859;
17127;169;40;13122851.02904;
17128;230;61;13112678.19256;
17129;429;106;13122206.55382;
17130;239;56;13115337.11851;
17131;438;115;13119143.43387;
17132;167;42;13123347.42397;
17133;693;165;13122715.05594;
17134;67;15;13122361.15336;
17135;622;159;13110359.19935;
17136;15;4;13123971.41010;
17137;521;131;13122458.94223;
17138;231;61;13135293.49864;
17139;550;132;13124881.31225;
17140;460;113;13116097.07773;
17141;121;32;13142312.87688;
17142;696;175;13120764.86647;
17143;17;4;13121845.20066;
17144;370;93;13114642.35187;
17145;263;67;13121674.76863;
17146;534;127;13117821.88714;
17147;260;70;13122742.99562;
17148;398;101;13130263.42541;
17149;591;156;13116209.76776;
17150;512;127;13116152.02576;
17151;620;157;13114133.84974;
17152;392;96;13112462.12572;
17153;228;57;13110693.54415;
17154;744;182;13112492.85936;
17155;236;59;13110719.62118;
17156;60;14;13120977.20802;
17157;71;19;13112805.78375;
17158;716;170;13122446.83504;
17159;699;178;13112253.50946;
17160;451;115;13120453.80473;
17161;382;94;13118419.79623;
17162;424;106;13124440.79667;
17163;494;116;13114443.98016;
17164;157;36;13119045.64500;
17165;174;41;13122078.96262;
17166;244;67;13120673.59686;
17167;495;121;13115747.83176;
17168;427;97;13119745.99957;
17169;629;158;13112416.49091;
17170;462;119;13117829.33772;
17171;157;44;13117650.52378;
17172;656;166;13128906.48842;
17173;738;185;13113821.85668;
17174;229;56;13112911.95452;
17175;205;52;13110869.56412;
17176;25;6;13121361.84424;
17177;697;177;13117377.64627;
17178;383;97;13120533.89847;
17179;459;114;13115586.71296;
17180;297;74;13124297.37300;
17181;388;95;13112777.84407;
17182;119;28;13110577.12883;
17183;422;99;13144832.10444;
17184;670;162;13120277.78476;
17185;221;59;13110423.46060;
17186;149;39;13122534.37936;
17187;219;54;13114606.03029;
17188;412;106;13120316.90031;
17189;476;117;13117608.61427;
17190;698;181;13131936.08075;
17191;613;155;13115720.82341;
17192;101;25;13109796.68051;
17193;159;39;13121496.88601;
17194;575;143;13121697.12037;
17195;488;129;13120762.07250;
17196;620;158;13111005.53721;
17197;171;43;13120207.93557;
17198;159;39;13117710.12843;
17199;360;88;13113948.51655;
17200;301;75;13119907.11838;
17201;390;99;13123705.05184;
17202;387;98;13127228.24514;
17203;605;145;13135361.48518;
17204;57;13;13125238.94012;
17205;180;48;13124312.27416;
17206;72;18;13112206.01201;
17207;136;34;13121165.33518;
17208;382;97;13123500.16087;
17209;180;48;13122313.65591;
17210;481;126;13117372.98965;
17211;180;45;13122714.12462;
17212;489;122;13115330.59925;
17213;499;127;13115869.83502;
17214;64;16;13123088.51629;
17215;440;113;13118802.56981;
17216;589;154;13112406.24636;
17217;324;79;13124148.36138;
17218;167;41;13119463.80883;
17219;591;146;13113655.14994;
17220;472;115;13116290.79282;
17221;636;159;13109526.59696;
17222;612;152;13114085.42097;
17223;606;158;13117027.46898;
17224;606;150;13113537.80329;
17225;348;83;13114560.39548;
17226;206;52;13113610.44645;
17227;313;73;13125953.26453;
17228;393;98;13128082.26794;
17229;28;7;13122967.44436;
17230;453;111;13121886.17885;
17231;378;97;13120119.45993;
17232;500;125;13117961.58552;
17233;405;104;13120098.97083;
17234;791;189;13115289.62106;
17235;677;168;13116813.26479;
17236;344;85;13111811.13124;
17237;720;183;13112273.99856;
17238;570;146;13110841.62444;
17239;682;171;13118509.20320;
17240;364;93;13116213.49305;
17241;142;36;13127490.87811;
17242;300;73;13119150.88445;
17243;560;137;13122976.75759;
17244;13;4;13119609.09516;
17245;218;56;13114574.36532;
17246;134;37;13117628.17204;
17247;747;184;13111753.38924;
17248;430;105;13120604.67899;
17249;349;87;13112339.19114;
17250;545;132;13121337.62985;
17251;469;108;13121988.62433;
17252;435;110;13121886.17885;
17253;244;58;13110961.76505;
17254;418;103;13122937.64204;
17255;70;17;13111693.78459;
17256;638;160;13115786.94731;
17257;623;154;13117391.61611;
17258;121;33;13123040.08752;
17259;45;9;13120952.06231;
17260;709;172;13123048.46942;
17261;363;91;13117600.23236;
17262;284;71;13122458.01091;
17263;122;29;13114096.59684;
17264;757;181;13113885.18661;
17265;570;154;13113398.10491;
17266;98;26;13115468.43499;
17267;429;109;13118252.15816;
17268;71;18;13116511.51627;
17269;596;143;13122089.20717;
17270;131;33;13167441.82259;
17271;220;55;13114226.05067;
17272;381;94;13118460.77442;
17273;16;5;13130571.69318;
17274;21;5;13123141.60168;
17275;226;53;13112134.30017;
17276;181;42;13120305.72444;
17277;144;36;13122283.85359;
17278;239;61;13112549.67004;
17279;759;187;13115373.44009;
17280;702;182;13118972.07052;
17281;638;154;13113563.88032;
17282;197;49;13113991.35739;
17283;402;105;13121843.33801;
17284;602;148;13112977.14710;
17285;276;71;13123731.12887;
17286;722;184;13120895.25163;
17287;253;67;13124631.71780;
17288;536;136;13120881.28179;
17289;275;64;13119870.79680;
17290;13;3;13117620.72146;
17291;277;64;13112372.71875;
17292;143;33;13119934.12673;
17293;53;12;13117887.07972;
17294;97;25;13114577.15929;
17295;653;166;13126619.16018;
17296;323;78;13123943.47042;
17297;705;180;13112682.84917;
17298;416;109;13116844.92975;
17299;37;10;13120601.88502;
17300;559;138;13121587.22430;
17301;692;181;13156333.00692;
17302;240;66;13125666.41718;
17303;359;88;13113046.99630;
17304;332;78;13128204.27120;
17305;27;8;13124170.71313;
17306;487;124;13122474.77472;
17307;594;149;13114783.91290;
17308;580;153;13113764.11468;
17309;595;145;13113349.67613;
17310;195;51;13115958.31066;
17311;347;91;13111838.13959;
17312;598;151;13114935.71848;
17313;192;52;13112687.50578;
17314;253;63;13112228.36375;
17315;20;7;13121989.55566;
17316;491;118;13116903.60308;
17317;87;22;13109910.30186;
17318;383;92;13114834.20432;
17319;178;48;13119273.81903;
17320;727;177;13114965.52080;
17321;444;106;13119623.99632;
17322;475;115;13118192.55352;
17323;658;170;13122510.16498;
17324;306;75;13122268.02111;
17325;654;162;13121812.60437;
17326;58;17;13115526.17699;
17327;630;154;13111803.68066;
17328;690;171;13121329.24795;
17329;482;126;13117101.97479;
17330;11;3;13121991.41830;
17331;437;108;13160318.13622;
17332;702;176;13119022.36193;
17333;388;95;13120495.71425;
17334;236;58;13110945.93257;
17335;255;61;13112233.02037;
17336;57;12;13122551.14317;
17337;332;84;13115381.82199;
17338;336;81;13114905.91615;
17339;494;120;13138484.20978;
17340;593;150;13114773.66835;
17341;624;156;13117672.87552;
17342;167;39;13117461.46530;
17343;751;189;13115619.30925;
17344;466;115;13117647.72981;
17345;322;80;13121671.97466;
17346;314;75;13124267.57067;
17347;258;65;13121986.76169;
17348;501;130;13120729.47621;
17349;667;170;13122877.10607;
17350;346;92;13114335.94674;
17351;262;63;13112986.46033;
17352;715;183;13112707.06356;
17353;642;161;13123710.63977;
17354;97;24;13116047.71763;
17355;429;110;13118111.52846;
17356;519;132;13122156.26240;
17357;729;189;13112488.20275;
17358;124;31;13110288.41883;
17359;118;28;13111353.85185;
17360;667;171;13119267.29977;
17361;574;141;13122675.94039;
17362;494;119;13118505.47791;
17363;191;47;13118396.51316;
17364;191;48;13121307.82753;
17365;21;4;13121634.72176;
17366;371;90;13116737.82766;
17367;29;7;13118023.98413;
17368;244;59;13112570.15914;
17369;298;75;13124107.38319;
17370;75;19;13112494.72201;
17371;39;10;13118260.54007;
17372;266;63;13115921.98908;
17373;204;52;13110954.31447;
17374;277;66;13126265.25760;
17375;491;121;13120922.25999;
17376;647;160;13112636.28304;
17377;209;46;13117584.39988;
17378;627;149;13111357.57715;
17379;525;134;13122786.76778;
17380;569;138;13126307.16711;
17381;126;32;13111385.51682;
17382;170;46;13119106.18097;
17383;23;6;13121468.01502;
17384;702;179;13112137.09414;
17385;717;180;13110973.87224;
17386;572;143;13124283.40316;
17387;686;172;13121686.87582;
17388;473;122;13118525.96700;
17389;389;98;13123036.36223;
17390;409;101;13121333.90456;
17391;307;76;13148039.57939;
17392;12;2;13129159.80816;
17393;420;105;13122839.85317;
17394;716;182;13114376.92493;
17395;308;80;13121746.48046;
17396;513;125;13117088.93627;
17397;130;34;13117207.21424;
17398;690;170;13122209.34778;
17399;172;41;13117459.60265;
17400;603;145;13113977.38755;
17401;336;83;13113071.21068;
17402;718;179;13114190.66042;
17403;369;92;13113287.27752;
17404;228;59;13112864.45707;
17405;139;30;13137710.28072;
17406;702;174;13121855.44521;
17407;36;8;13122458.01091;
17408;427;111;13122395.61230;
17409;301;79;13120928.77924;
17410;459;108;13121015.39224;
17411;482;120;13117782.77159;
17412;555;141;13127860.61317;
17413;566;135;13121107.59318;
17414;691;176;13124090.61939;
17415;223;55;13112501.24127;
17416;119;27;13115049.33983;
17417;767;188;13111107.05137;
17418;640;160;13111758.97717;
17419;34;8;13118845.41065;
17420;146;37;13130685.31454;
17421;561;138;13129386.11954;
17422;73;20;13113345.95084;
17423;346;93;13113872.14810;
17424;264;66;13123823.32981;
17425;324;83;13113215.56568;
17426;319;79;13123606.33165;
17427;348;86;13114110.56668;
17428;552;142;13125648.72205;
17429;163;41;13123494.57294;
17430;174;43;13118444.94194;
17431;203;54;13117397.20404;
17432;240;65;13121858.23917;
17433;646;165;13117940.16510;
17434;100;24;13113928.02745;
17435;687;168;13119027.94987;
17436;686;178;13115118.25770;
17437;539;130;13185335.32321;
17438;529;134;13128384.01645;
17439;390;92;13115342.70644;
17440;145;35;13125342.31693;
17441;649;162;13120518.99731;
17442;636;159;13113523.83345;
17443;614;148;13111550.36092;
17444;315;79;13126122.76524;
17445;174;40;13124563.73125;
17446;230;63;13112164.10249;
17447;31;8;13122540.89862;
17448;537;137;13121518.30643;
17449;708;177;13112276.79253;
17450;69;17;13136762.19434;
17451;21;5;13122661.03923;
17452;283;75;13156384.22966;
17453;95;25;13113666.32581;
17454;150;32;13113057.24084;
17455;371;95;13115650.97421;
17456;785;189;13119034.46913;
17457;721;182;13117179.27456;
17458;48;12;13123050.33207;
17459;238;54;13110753.14879;
17460;643;167;13128335.58768;
17461;583;142;13123827.98642;
17462;321;80;13119935.98938;
17463;86;25;13115679.84521;
17464;255;69;13123903.42355;
17465;514;132;13122636.82485;
17466;332;84;13114727.10222;
17467;103;28;13113776.22187;
17468;460;111;13122548.34920;
17469;563;136;13124788.17999;
17470;443;103;13119799.08496;
17471;593;147;13112826.27285;
17472;376;98;13117223.97804;
17473;235;55;13112508.69185;
17474;716;178;13112453.74382;
17475;15;5;13122374.19188;
17476;257;61;13116781.59982;
17477;419;104;13117204.42027;
17478;399;90;13114079.83303;
17479;626;160;13119121.08213;
17480;190;45;13121083.37879;
17481;261;68;13125472.70209;
17482;474;121;13118484.98881;
17483;308;74;13120842.16624;
17484;439;116;13115516.86376;
17485;666;162;13138393.87149;
17486;458;115;13118745.75913;
17487;372;100;13122541.82994;
17488;156;36;13123019.59842;
17489;737;181;13112985.52901;
17490;399;97;13122113.42156;
17491;358;89;13116558.08240;
17492;472;119;13117299.41517;
17493;465;118;13121071.27160;
17494;645;160;13115530.83360;
17495;35;8;13121193.27486;
17496;639;153;13113758.52674;
17497;349;86;13114281.93003;
17498;412;100;13118309.90016;
17499;606;155;13116139.91857;
17500;71;18;13125758.61812;
17501;216;56;13111543.84166;
17502;39;10;13121908.53059;
17503;533;133;13121651.48556;
17504;135;36;13117285.44533;
17505;233;54;13112351.29833;
17506;614;157;13110625.55760;
17507;17;4;13117534.10846;
17508;155;36;13119575.56754;
17509;113;28;13108115.64326;
17510;185;49;13121444.73195;
17511;96;27;13111689.12798;
17512;201;51;13112766.66820;
17513;97;27;13112747.11043;
17514;659;159;13112836.51739;
17515;32;7;13121671.04334;
17516;80;18;13116972.52095;
17517;361;95;13116685.67359;
17518;107;27;13110765.25599;
17519;367;87;13115295.20899;
17520;403;104;13118486.85145;
17521;176;45;13121351.59969;
17522;572;144;13118351.80968;
17523;670;167;13121034.95002;
17524;338;80;13122439.38446;
17525;204;53;13115091.24935;
17526;738;183;13113740.83161;
17527;6;2;13119691.98287;
17528;674;166;13120444.49151;
17529;512;130;13124340.21384;
17530;127;32;13112720.10207;
17531;376;96;13115566.22386;
17532;245;60;13112488.20275;
17533;287;70;13124139.97948;
17534;391;99;13121502.47395;
17535;289;71;13123350.21794;
17536;168;38;13117862.86533;
17537;492;121;13116234.91347;
17538;616;161;13117775.32101;
17539;300;73;13125975.61628;
17540;562;136;13126221.48544;
17541;653;170;13125725.09050;
17542;131;32;13116297.31208;
17543;709;171;13122442.17843;
17544;616;159;13110857.45692;
17545;428;113;13119230.04687;
17546;211;50;13111630.45466;
17547;398;101;13118800.70716;
17548;151;39;13122499.92043;
17549;72;21;13109665.36403;
17550;178;43;13117779.97762;
17551;741;187;13114511.03538;
17552;314;84;13116448.18634;
17553;260;67;13141998.08985;
17554;95;24;13113788.32906;
17555;282;67;13123072.68381;
