ID;HW;LENGTH;TIME;
13117;336;81;13146365.99272;
13118;298;76;13190242.92752;
13119;720;176;13145342.00355;
13120;301;75;13146563.89877;
13121;121;32;13133163.09825;
13122;636;166;13143948.27932;
13123;345;91;13131988.70048;
13124;619;160;13132748.19404;
13125;494;120;13386148.95940;
13126;63;16;13218259.43887;
13127;653;161;13157401.23391;
13128;411;103;13198432.97824;
13129;677;171;13222228.73569;
13130;673;179;13128935.82508;
13131;153;36;13163005.00184;
13132;549;132;13294951.99025;
13133;107;28;13149130.15813;
13134;721;188;13146297.07485;
13135;494;129;13167825.06183;
13136;505;125;13150827.02786;
13137;519;130;13148164.84228;
13138;143;39;13169418.08909;
13139;466;113;13257545.41904;
13140;17;4;13322361.74494;
13141;423;105;13166441.11648;
13142;707;185;13145016.97198;
13143;321;84;13151875.23142;
13144;105;27;13233864.21427;
13145;440;109;13158331.15950;
13146;405;98;13156041.03729;
13147;202;48;13235775.75386;
13148;31;7;13155782.12962;
13149;0;0;13145321.04880;
13150;457;107;13218418.22937;
13151;528;133;13160644.09912;
13152;386;98;13204222.07937;
13153;490;117;13207193.92970;
13154;401;95;13229368.72020;
13155;267;65;13208748.77274;
13156;233;56;13178724.32992;
13157;306;78;13147457.96844;
13158;71;18;13128563.76171;
13159;610;156;13171534.98530;
13160;302;74;13184553.01225;
13161;300;72;13199228.79338;
13162;192;47;13305738.10264;
13163;266;65;13183529.95440;
13164;587;146;13130741.19389;
13165;137;33;13187251.05375;
13166;120;27;13195499.77779;
13167;245;65;13186583.76113;
13168;246;60;13176296.83763;
13169;38;10;13234514.27743;
13170;36;9;13143641.87419;
13171;253;65;13266840.01833;
13172;363;89;13171313.79619;
13173;298;77;13246065.93698;
13174;547;141;13248558.15619;
13175;498;124;13205331.28455;
13176;616;157;13261803.42585;
13177;625;157;13167998.28783;
13178;139;36;13142731.04072;
13179;355;90;13170301.91422;
13180;391;100;13180655.89294;
13181;377;97;13267149.21743;
13182;208;52;13241019.09995;
13183;646;161;13238593.00464;
13184;641;151;13269673.10160;
13185;108;29;13126894.83166;
13186;185;48;13352527.28313;
13187;557;143;13243323.19200;
13188;157;39;13184314.12801;
13189;736;184;13285520.02087;
13190;729;180;13212961.14475;
13191;20;4;13283443.17153;
13192;655;160;13149479.86975;
13193;542;137;13206331.05934;
13194;19;5;13246741.14585;
13195;10;2;13208041.89891;
13196;136;37;13201960.82816;
13197;158;42;13246786.78066;
13198;78;20;13365260.79103;
13199;363;89;13236190.65806;
13200;665;171;13202475.84954;
13201;117;30;13260025.06539;
13202;455;114;13207086.36194;
13203;582;153;13166766.14806;
13204;121;30;13127223.58853;
13205;648;171;13151709.92166;
13206;624;156;13305007.01442;
13207;602;152;13237153.64560;
13208;45;11;13188743.03252;
13209;728;187;13202186.20822;
13210;351;94;13191351.20139;
13211;703;165;13193735.85284;
13212;550;138;13476902.15334;
13213;0;0;13292628.80608;
13214;610;154;13349983.84118;
13215;156;39;13217937.20126;
13216;84;23;13133710.25026;
13217;213;55;13268808.83425;
13218;102;24;13169564.30674;
13219;344;82;13273508.28797;
13220;79;18;13330003.24667;
13221;618;160;13233642.09384;
13222;230;59;13168094.67971;
13223;502;124;13208476.82655;
13224;127;29;13192811.98084;
13225;432;109;13218151.87111;
13226;263;70;13275861.27445;
13227;348;90;13234567.82848;
13228;348;92;13269386.71991;
13229;595;144;13178375.08395;
13230;531;143;13224075.08269;
13231;699;173;13188324.86868;
13232;697;182;13209655.88093;
13233;388;98;13226659.03717;
13234;92;20;13213939.03345;
13235;176;42;13212714.80992;
13236;590;152;13212230.05652;
13237;300;82;13169666.28656;
13238;751;187;13303204.90524;
13239;378;93;13206087.98414;
13240;311;81;13207505.92276;
13241;0;0;13210085.22063;
13242;346;88;13327323.83162;
13243;335;87;13268853.07208;
13244;95;24;13196130.28318;
13245;319;84;13224735.85606;
13246;105;27;13185279.90952;
13247;543;137;13251202.64664;
13248;449;112;13308519.96318;
13249;477;121;13309095.98619;
13250;303;72;13438992.66794;
13251;159;40;13147786.72531;
13252;270;67;13144149.91066;
13253;82;20;13132398.01675;
13254;588;148;13151486.86990;
13255;706;179;13152494.09527;
13256;588;150;13131005.22384;
13257;130;31;13191117.90508;
13258;565;142;13226104.90024;
13259;665;166;13181163.92940;
13260;592;152;13169829.73367;
13261;775;188;13128762.13342;
13262;385;94;13126902.28224;
13263;356;92;13129394.03579;
13264;32;9;13197759.16636;
13265;637;161;13146324.08321;
13266;559;131;13142893.09084;
13267;210;48;13141321.01834;
13268;104;26;13131078.79832;
13269;64;16;13142269.57038;
13270;236;61;13129379.60029;
13271;661;173;13301819.09725;
13272;456;110;13186683.87830;
13273;554;131;13146126.17716;
13274;428;103;13141206.93132;
13275;292;72;13146269.13518;
13276;39;9;13168577.10481;
13277;309;77;13143660.96631;
13278;172;45;13146928.97722;
13279;83;18;13260932.17358;
13280;379;93;13130986.13173;
13281;30;7;13144133.14685;
13282;415;106;13140894.93826;
13283;659;164;13141662.81372;
13284;677;167;13138987.12397;
13285;715;180;13242152.98519;
13286;687;175;13175398.11134;
13287;31;9;13224988.24447;
13288;15;4;13223357.03298;
13289;195;50;13138099.10789;
13290;425;103;13163040.85776;
13291;546;142;13163483.23599;
13292;554;131;13142125.21538;
13293;372;90;13130565.17392;
13294;272;63;13190231.75165;
13295;161;41;13145056.08752;
13296;274;73;13146758.54519;
13297;379;97;13245655.22373;
13298;749;188;13132304.88449;
13299;382;98;13172496.11020;
13300;5;1;13165445.06699;
13301;732;178;13188987.97035;
13302;304;75;13143721.96794;
13303;14;3;13144796.24853;
13304;351;91;13128115.79555;
13305;507;127;13135150.07496;
13306;591;147;13131409.88350;
13307;44;11;13147427.70046;
13308;113;29;13141616.71326;
13309;30;7;13258669.99105;
13310;518;133;13142853.97530;
13311;687;167;13140897.26657;
13312;57;14;13144214.17192;
13313;657;159;13149264.73424;
13314;476;121;13131529.09279;
13315;293;75;13145150.15110;
13316;237;59;13179462.86872;
13317;29;7;13143217.19110;
13318;611;149;13168900.73940;
13319;14;3;13144725.00235;
13320;597;155;13129862.02538;
13321;260;64;13130341.19084;
13322;554;131;13143999.03640;
13323;549;136;13200706.80231;
13324;232;56;13131498.82481;
