ID;HW;TIME;
668;283;1474138.34929;
669;274;1473485.49217;
670;263;1475327.64822;
671;271;1474808.90155;
672;259;1475541.85241;
673;267;1473194.91953;
674;255;1473712.73488;
675;255;1471730.88044;
676;260;1475729.97957;
677;250;1473409.12372;
678;249;1475640.57261;
679;265;1474943.01200;
680;263;1476109.95919;
681;258;1475918.10673;
682;243;1475935.80186;
683;255;1482682.30259;
684;268;1477048.73234;
685;247;1473336.48056;
686;260;1474086.19523;
687;249;1472479.66379;
688;256;1473671.75668;
689;237;1474467.10616;
690;250;1474978.40226;
691;255;1473804.00449;
692;265;1475111.58139;
693;268;1474510.87832;
694;264;1474691.55490;
695;260;1473978.16181;
696;275;1475797.96612;
697;237;1475188.88116;
698;246;1475966.53551;
699;254;1476035.45338;
700;256;1473153.94133;
701;256;1471917.14495;
702;233;1474251.97065;
703;284;1476190.05293;
704;250;1472827.97843;
705;253;1482523.97776;
706;258;1476217.06128;
707;258;1474050.80497;
708;278;1474182.12146;
709;256;1474406.57020;
710;251;1473419.36827;
711;262;1476176.08309;
712;238;1473449.17059;
713;244;1475807.27935;
714;277;1473350.45040;
715;248;1474106.68433;
716;257;1474824.73403;
717;255;1474022.86530;
718;268;1475915.31277;
719;266;1476721.83812;
720;252;1476608.21676;
721;237;1476332.54528;
722;274;1472542.06240;
723;266;1474605.87323;
724;255;1474760.47277;
725;263;1475516.70671;
726;259;1474629.15629;
727;251;1477740.70501;
728;257;1472443.34221;
729;254;1473526.47036;
730;277;1472951.84433;
731;239;1473888.75484;
732;251;1475959.08493;
733;272;1475224.27142;
734;245;1477073.87805;
735;275;1475134.86445;
736;241;1473869.19707;
737;261;1472748.81601;
738;263;1474509.94700;
739;259;1474804.24494;
740;241;1473736.94927;
741;249;1475400.29138;
742;265;1472474.07585;
743;252;1474241.72610;
744;249;1474641.26348;
745;244;1475018.44913;
746;276;1474833.11594;
747;270;1475479.45380;
748;239;1473861.74649;
749;271;1475670.37493;
750;238;1473853.36459;
751;250;1481025.47973;
752;247;1472644.50788;
753;265;1476698.55505;
754;245;1473553.47872;
755;270;1479397.52787;
756;239;1473595.38823;
757;255;1475106.92477;
758;259;1474436.37252;
759;252;1475022.17442;
760;260;1474946.73729;
761;261;1478393.56214;
762;261;1476376.31744;
763;260;1474548.13123;
764;248;1474070.36275;
765;261;1472849.39885;
766;275;1474375.83655;
767;257;1473968.84859;
768;274;1475817.52390;
769;258;1475224.27142;
770;243;1472350.20995;
771;276;1474659.88994;
772;269;1474216.58039;
773;259;1471770.92731;
774;265;1476697.62373;
775;242;1475337.89277;
776;254;1479390.07729;
777;243;1473158.59795;
778;263;1472514.12272;
779;263;1473791.89730;
780;257;1474593.76603;
781;265;1473845.91401;
782;228;1476058.73644;
783;241;1476692.96712;
784;264;1475232.65332;
785;247;1475306.22780;
786;260;1476061.53041;
787;269;1473918.55717;
788;259;1484079.28646;
789;234;1477389.59640;
790;262;1475025.89971;
791;250;1473806.79846;
792;254;1476529.05434;
793;260;1473461.27778;
794;242;1474941.14935;
795;286;1476152.80002;
796;226;1474667.34052;
797;261;1476690.17315;
798;263;1476251.52022;
799;265;1477527.43214;
800;249;1472195.61040;
801;250;1476391.21860;
802;259;1475371.42038;
803;266;1474937.42406;
804;262;1475651.74848;
805;259;1474619.84307;
806;262;1474518.32891;
807;275;1472695.73063;
808;255;1473506.91259;
809;258;1476785.16805;
810;271;1475416.12387;
811;258;1478522.08465;
812;249;1474467.10616;
813;264;1476201.22880;
814;252;1476629.63718;
815;241;1475656.40509;
816;241;1475151.62826;
817;282;1476978.88315;
818;255;1473779.79010;
819;248;1475434.75032;
820;269;1475677.82551;
821;268;1474840.56652;
822;253;1477244.31008;
823;250;1477656.88598;
824;280;1476597.04089;
825;254;1475299.70855;
826;254;1474907.62174;
827;251;1471651.71802;
828;254;1473180.94969;
829;266;1473077.57288;
830;275;1474951.39390;
831;253;1475681.55080;
832;257;1474751.15955;
833;257;1474208.19849;
834;248;1474429.85326;
835;261;1474069.43142;
836;251;1474392.60036;
837;263;1476240.34435;
838;259;1473549.75343;
839;253;1476757.22837;
840;248;1473092.47404;
841;254;1473897.13675;
842;271;1473330.89262;
843;265;1473162.32324;
844;268;1475200.98835;
845;273;1476711.59357;
846;265;1476742.32721;
847;255;1474081.53862;
848;269;1474081.53862;
849;253;1474696.21152;
850;236;1473746.26249;
851;255;1475820.31786;
852;263;1474183.98410;
853;254;1474794.00039;
854;267;1472188.15982;
855;253;1473106.44388;
856;238;1482197.08353;
857;256;1474926.24819;
