ID;HW;TIME
300;255;1474988.64681 ns;
301;278;1480739.56370 ns;
302;241;1489805.05764 ns;
303;254;1473426.81885 ns;
304;250;1477840.35653 ns;
305;259;1494990.66174 ns;
306;250;1473312.26617 ns;
307;252;1475194.46909 ns;
308;250;1501337.62509 ns;
309;264;1501657.06873 ns;
310;253;1475522.29464 ns;
311;258;1474435.44120 ns;
312;244;1474509.94700 ns;
313;246;1515931.44983 ns;
314;239;1492375.50795 ns;
315;232;1480876.46812 ns;
316;249;1489723.10126 ns;
317;263;1474796.79435 ns;
318;262;1475908.79351 ns;
319;264;1493997.87188 ns;
320;249;1475203.78232 ns;
321;281;1481171.69738 ns;
322;254;1478955.14965 ns;
323;245;1474631.95026 ns;
324;254;1474880.61339 ns;
325;238;1476760.95366 ns;
326;225;1480642.70616 ns;
327;250;1479955.39010 ns;
328;252;1501454.97173 ns;
329;240;1476191.91557 ns;
330;256;1494122.66910 ns;
331;256;1477105.54302 ns;
332;246;1482466.23576 ns;
333;250;1479032.44942 ns;
334;258;1481090.67231 ns;
335;247;1513798.72113 ns;
336;246;1473519.95111 ns;
337;238;1532439.14247 ns;
338;258;1473857.08988 ns;
339;239;1481294.63196 ns;
340;275;1479491.59145 ns;
341;269;1479526.05039 ns;
342;266;1513323.74662 ns;
343;251;1475232.65332 ns;
344;250;1494972.96661 ns;
345;242;1475441.26958 ns;
346;243;1481558.19625 ns;
347;245;1479453.40723 ns;
348;264;1474383.28713 ns;
349;245;1523293.55478 ns;
350;264;1473781.65275 ns;
351;251;1509663.64890 ns;
352;258;1476429.40283 ns;
353;255;1480705.10477 ns;
354;257;1479390.07729 ns;
355;251;1473096.19933 ns;
356;261;1532290.13085 ns;
357;260;1473464.07175 ns;
358;244;1491455.36125 ns;
359;265;1479760.74368 ns;
360;258;1489301.21213 ns;
361;247;1489864.66229 ns;
362;259;1483428.29198 ns;
363;262;1513604.07472 ns;
364;250;1477505.08040 ns;
365;263;1472414.47121 ns;
366;271;1478742.80810 ns;
367;243;1480942.59202 ns;
368;253;1483356.58014 ns;
369;255;1474369.31729 ns;
370;256;1511190.08660 ns;
371;261;1476022.41486 ns;
372;266;1473667.10007 ns;
373;246;1479330.47265 ns;
374;251;1498711.29543 ns;
375;274;1482088.11879 ns;
376;263;1473560.92930 ns;
377;252;1522790.64059 ns;
378;258;1522861.42111 ns;
379;265;1479507.42394 ns;
380;242;1479675.99332 ns;
381;271;1480947.24864 ns;
382;247;1475391.90948 ns;
383;264;1472936.01185 ns;
384;250;1533440.31423 ns;
385;271;1475341.61806 ns;
386;278;1488985.49378 ns;
387;255;1499886.62452 ns;
388;274;1498809.08430 ns;
389;263;1492596.23140 ns;
390;286;1477857.12034 ns;
391;247;1475967.46683 ns;
392;258;1513179.39162 ns;
393;243;1476837.32212 ns;
394;265;1479717.90284 ns;
395;253;1492879.35346 ns;
396;265;1481586.13592 ns;
397;258;1474837.77255 ns;
398;269;1474207.26717 ns;
399;254;1481738.87283 ns;
400;246;1497494.98814 ns;
401;247;1488632.52252 ns;
402;282;1474357.21010 ns;
403;263;1496569.25350 ns;
404;252;1474761.40410 ns;
405;255;1473613.08336 ns;
406;253;1496984.62337 ns;
407;254;1477956.77185 ns;
408;246;1490012.74258 ns;
409;259;1476150.00606 ns;
410;265;1475832.42506 ns;
411;257;1474413.08945 ns;
412;251;1475707.62783 ns;
413;278;1478007.06327 ns;
414;250;1480830.83332 ns;
415;268;1489261.16526 ns;
416;262;1476987.26505 ns;
417;284;1475345.34335 ns;
418;241;1484902.57561 ns;
419;245;1476796.34392 ns;
420;253;1490132.88319 ns;
421;256;1513634.80836 ns;
422;256;1484642.73661 ns;
423;255;1476601.69750 ns;
424;260;1614030.45058 ns;
425;256;1477898.09853 ns;
426;261;1479532.56965 ns;
427;245;1476803.79450 ns;
428;250;1475726.25428 ns;
429;250;1483662.98527 ns;
430;261;1474436.37252 ns;
431;253;1474310.64397 ns;
432;261;1475075.25980 ns;
433;276;1480323.26251 ns;
434;246;1479378.90142 ns;
435;257;1484796.40484 ns;
436;226;1473764.88894 ns;
437;249;1475051.97674 ns;
438;249;1494165.50994 ns;
439;248;1499880.10526 ns;
440;261;1479392.87126 ns;
441;263;1479674.13068 ns;
442;249;1474190.50336 ns;
443;256;1472733.91485 ns;
444;255;1473707.14694 ns;
445;254;1474212.85510 ns;
446;244;1479453.40723 ns;
447;254;1479623.83926 ns;
448;263;1480272.03977 ns;
449;255;1523826.27130 ns;
450;255;1475495.28629 ns;
451;236;1472322.27027 ns;
452;290;1513794.99584 ns;
453;253;1488941.72162 ns;
454;256;1482955.18011 ns;
455;250;1473915.76320 ns;
456;253;1474601.21661 ns;
457;241;1485102.80997 ns;
458;260;1473010.51766 ns;
459;281;1479509.28658 ns;
460;255;1489231.36294 ns;
461;267;1478537.91714 ns;
462;237;1475281.08209 ns;
463;254;1549225.30055 ns;
464;264;1475768.16380 ns;
465;248;1514518.63348 ns;
466;263;1515551.47022 ns;
467;254;1480454.57900 ns;
468;253;1474704.59342 ns;
469;262;1473984.68107 ns;
470;271;1482734.45666 ns;
471;268;1493510.79017 ns;
472;249;1474711.11268 ns;
473;259;1504478.97613 ns;
474;255;1480105.33303 ns;
475;266;1493278.89085 ns;
476;264;1486510.96970 ns;
477;259;1475995.40651 ns;
478;253;1473714.59752 ns;
479;265;1518635.07926 ns;
480;260;1488775.94620 ns;
481;251;1479461.78913 ns;
482;257;1494964.58471 ns;
483;277;1475898.54896 ns;
484;243;1474380.49316 ns;
485;247;1474771.64865 ns;
486;278;1480312.08664 ns;
487;256;1497751.10185 ns;
488;242;1481261.10435 ns;
489;259;1473143.69678 ns;
490;276;1472359.52318 ns;
491;255;1511479.72792 ns;
492;253;1512518.15259 ns;
493;252;1497212.79740 ns;
494;237;1532489.43388 ns;
495;273;1475190.74380 ns;
496;257;1472147.18163 ns;
497;258;1474687.82961 ns;
498;249;1483649.01543 ns;
499;253;1480191.01471 ns;
500;247;1482377.76011 ns;
501;260;1498683.35575 ns;
502;251;1472542.99372 ns;
503;267;1474939.28671 ns;
504;244;1474531.36742 ns;
505;270;1473699.69636 ns;
506;270;1480696.72287 ns;
507;250;1478444.78488 ns;
508;272;1479712.31490 ns;
509;245;1475848.25754 ns;
510;271;1514600.58987 ns;
511;253;1485412.00906 ns;
512;277;1485091.63409 ns;
513;269;1491627.65592 ns;
514;267;1480560.74977 ns;
515;253;1483353.78617 ns;
516;256;1473672.68801 ns;
517;257;1475076.19113 ns;
518;267;1475752.33132 ns;
519;258;1479504.62997 ns;
520;256;1490462.57138 ns;
521;265;1539786.34626 ns;
522;247;1474880.61339 ns;
523;260;1473010.51766 ns;
524;258;1474023.79662 ns;
525;259;1474162.56368 ns;
526;257;1496600.91847 ns;
527;241;1479365.86291 ns;
528;258;1479312.77752 ns;
529;243;1474551.85652 ns;
530;268;1526755.28079 ns;
531;262;1483951.69526 ns;
532;262;1475664.78699 ns;
533;264;1481929.79395 ns;
534;257;1583131.03020 ns;
535;275;1478427.08975 ns;
536;264;1474719.49458 ns;
537;248;1475642.43525 ns;
538;261;1475203.78232 ns;
539;265;1475123.68858 ns;
540;260;1480586.82680 ns;
541;267;1479135.82623 ns;
542;254;1477017.06737 ns;
543;238;1475830.56241 ns;
544;262;1473739.74323 ns;
545;241;1485798.50793 ns;
546;255;1519183.62826 ns;
547;254;1478588.20856 ns;
548;263;1480282.28432 ns;
549;273;1485285.34919 ns;
550;243;1475962.81022 ns;
551;240;1473902.72468 ns;
552;240;1473512.50052 ns;
553;254;1481459.47605 ns;
554;277;1479413.36036 ns;
555;252;1482767.05295 ns;
556;261;1484814.09997 ns;
557;261;1475794.24083 ns;
558;279;1538618.46775 ns;
559;266;1522049.30782 ns;
560;249;1518847.42081 ns;
561;254;1517960.80172 ns;
562;262;1495359.46548 ns;
563;274;1484458.33474 ns;
564;260;1478018.23914 ns;
565;263;1494843.51277 ns;
566;254;1517650.67130 ns;
