ID;HW;LENGTH;TIME
393;1012;13236186.93277 ns;
394;1049;13119387.90604 ns;
395;984;13182048.68585 ns;
396;1014;13140825.08907 ns;
397;1065;13121785.13035 ns;
398;1052;13269809.07470 ns;
399;1024;13286055.99701 ns;
400;1049;13157603.79657 ns;
401;1018;13130917.21386 ns;
402;1045;13124605.17511 ns;
403;998;13143499.84750 ns;
404;1021;13299757.14907 ns;
405;1033;13226089.99908 ns;
406;1026;13230805.75094 ns;
407;994;13226701.41235 ns;
408;1030;13245590.03115 ns;
409;1022;13430911.11630 ns;
410;1036;13266340.82943 ns;
411;1021;13269993.94223 ns;
412;1010;13543450.27357 ns;
413;1006;13362163.67781 ns;
414;1043;13283878.09917 ns;
415;1031;13221837.11454 ns;
416;1009;13318690.93701 ns;
417;1026;13249973.30084 ns;
418;1025;13242412.82418 ns;
419;1055;13329796.02739 ns;
420;1011;13120952.99363 ns;
421;995;13122281.99095 ns;
422;998;13177194.16693 ns;
423;1027;13120801.18805 ns;
424;1031;13405018.95174 ns;
425;1012;13160266.91347 ns;
426;984;13291227.16561 ns;
427;1006;13140558.26515 ns;
428;1030;13164075.09148 ns;
429;1041;13131735.84640 ns;
430;1060;13200155.92501 ns;
431;1055;13199781.99899 ns;
432;1017;13129231.98566 ns;
433;1022;13207717.33299 ns;
434;1012;13203334.06329 ns;
435;1016;13136356.13769 ns;
436;1026;13123857.78874 ns;
437;1028;13199870.94030 ns;
438;1013;13166975.22998 ns;
439;1041;13165526.09205 ns;
440;1009;13186099.00773 ns;
441;1015;13121777.67977 ns;
442;1034;13200051.15122 ns;
443;1016;13123902.02656 ns;
444;1023;13229889.32952 ns;
445;1013;13244188.85633 ns;
446;990;13282151.89278 ns;
447;990;13203474.22734 ns;
448;1010;13173840.94000 ns;
449;1022;13119474.98471 ns;
450;1015;13131432.70090 ns;
451;1035;13122454.75128 ns;
452;1020;13124125.07832 ns;
453;1034;13119076.37864 ns;
454;1024;13201680.96572 ns;
455;1011;13121767.90088 ns;
456;1010;13148304.07500 ns;
457;1000;13349991.29176 ns;
458;1002;13134514.91296 ns;
459;1014;13304557.65128 ns;
460;1044;13205191.12051 ns;
461;1003;13175175.05959 ns;
462;1064;13119447.04503 ns;
463;1021;13122080.82527 ns;
464;1000;13175301.71946 ns;
465;990;13123407.95994 ns;
466;1017;13125244.06239 ns;
467;979;13213695.02693 ns;
468;1053;13348112.81413 ns;
469;1057;13203501.70135 ns;
470;1003;13201896.10124 ns;
471;1019;13179310.13182 ns;
472;1012;13160713.94831 ns;
473;1006;13254079.96774 ns;
474;1032;13169792.94643 ns;
475;1032;13175857.71903 ns;
476;999;13130050.15254 ns;
477;1011;13157015.20070 ns;
478;1032;13121111.78413 ns;
479;1003;13120096.17686 ns;
480;1003;13227541.93097 ns;
481;1005;13131510.00068 ns;
482;1067;13138609.93832 ns;
483;1057;13123590.03350 ns;
484;998;13124433.81175 ns;
485;1038;13235550.83945 ns;
486;1023;13122493.86683 ns;
487;996;13124757.91201 ns;
488;979;13120655.90173 ns;
489;1002;13179190.92253 ns;
490;1022;13205527.79362 ns;
491;1080;13141358.27124 ns;
492;1028;13222730.25289 ns;
493;1034;13183545.78689 ns;
494;1027;13118367.17650 ns;
495;1046;13119895.01119 ns;
496;1001;13197191.05959 ns;
497;1038;13200324.96005 ns;
498;1030;13133510.01590 ns;
499;1018;13184507.37745 ns;
500;1016;13120030.98428 ns;
501;1050;13117974.15838 ns;
502;1004;13140235.09622 ns;
503;1010;13118942.26819 ns;
504;1022;13176310.34181 ns;
505;984;13220912.31123 ns;
506;1039;13120771.85139 ns;
507;1041;13119869.86548 ns;
508;1030;13121917.84382 ns;
509;1017;13191827.10722 ns;
510;1018;13118909.20624 ns;
511;1048;13129858.30009 ns;
512;1045;13120156.71283 ns;
513;1023;13155966.06582 ns;
514;1025;13222520.23965 ns;
515;1045;13137029.94958 ns;
516;972;13203570.15356 ns;
517;1042;13163632.24760 ns;
518;1038;13123161.15946 ns;
519;1041;13180037.96041 ns;
520;1064;13134215.02709 ns;
521;1063;13128452.00300 ns;
522;1050;13162665.06910 ns;
523;1051;13174611.60943 ns;
524;1034;13172188.30809 ns;
525;1032;13131604.99558 ns;
526;1005;13117930.85188 ns;
527;1002;13135960.79126 ns;
528;1060;13137683.27236 ns;
529;995;13249441.98132 ns;
530;1058;13122953.00886 ns;
531;1041;13118956.23803 ns;
532;1058;13120720.62865 ns;
533;1051;13120395.13141 ns;
534;1006;13163811.99285 ns;
535;1062;13122339.73294 ns;
536;1023;13127883.89623 ns;
537;1014;13182109.68748 ns;
538;1042;13163102.79071 ns;
539;1028;13121728.31967 ns;
540;976;13119538.78030 ns;
541;1046;13162210.11803 ns;
542;1009;13120498.97388 ns;
543;980;13161745.85372 ns;
544;1059;13298188.33619 ns;
545;1016;13141279.10882 ns;
546;1078;13161378.91263 ns;
547;1016;13124071.99293 ns;
548;1048;13142846.05905 ns;
549;1049;13116496.14945 ns;
550;974;13121257.07045 ns;
551;1013;13164401.98570 ns;
552;1027;13120225.16504 ns;
553;1007;13124710.88022 ns;
554;1041;13192075.77035 ns;
555;1015;13157512.99262 ns;
556;977;13120362.06946 ns;
557;990;13208800.92680 ns;
558;1035;13310217.76423 ns;
559;990;13120480.34742 ns;
560;1017;13121260.79574 ns;
561;1011;13163537.25269 ns;
562;1067;13119077.77563 ns;
563;987;13180593.02866 ns;
564;1010;13118637.26005 ns;
565;1028;13117162.97641 ns;
566;1017;13140972.70370 ns;
567;1047;13209258.67185 ns;
568;1013;13161992.65420 ns;
569;986;13160667.84784 ns;
570;1030;13190118.13030 ns;
571;1023;13247976.07958 ns;
572;1039;13120010.96085 ns;
573;1008;13303698.97187 ns;
574;1041;13166944.03067 ns;
575;1035;13140225.31733 ns;
576;1029;13301698.02532 ns;
577;1021;13124698.77303 ns;
578;1037;13121491.76374 ns;
579;1009;13119802.34459 ns;
580;1025;13120988.84955 ns;
581;995;13139196.20588 ns;
582;1018;13137515.16864 ns;
583;1022;13155607.04097 ns;
584;1031;13202597.85280 ns;
585;978;13247800.99094 ns;
586;1036;13122634.03088 ns;
587;1058;13119637.96616 ns;
588;1016;13165787.32803 ns;
589;1026;13123122.04391 ns;
590;988;13119775.80190 ns;
591;1038;13158467.59826 ns;
592;1057;13204577.84459 ns;
593;1044;13200156.39067 ns;
594;1043;13200771.06357 ns;
595;1040;13157898.56017 ns;
596;1011;13279194.01228 ns;
597;1033;13275499.92129 ns;
598;1022;13124261.98274 ns;
599;1038;13120764.86647 ns;
600;996;13121064.28668 ns;
601;1014;13338092.24889 ns;
602;1056;13176738.75019 ns;
603;1035;13253607.78719 ns;
604;1028;13225385.91921 ns;
605;1019;13176504.98822 ns;
606;1013;13324322.17896 ns;
607;1053;26637879.20028 ns;
608;1001;13263349.88698 ns;
609;1027;13280579.82028 ns;
610;1029;13289141.93437 ns;
611;988;13217940.92655 ns;
612;1048;13333986.97898 ns;
613;1014;13256555.88880 ns;
614;986;13254085.09001 ns;
615;1022;13232167.81020 ns;
616;1048;13320647.18008 ns;
617;1016;13414939.86547 ns;
618;1011;13307094.10831 ns;
619;1009;13238468.20742 ns;
620;1028;13234105.89248 ns;
621;1054;13381644.15210 ns;
622;1051;13562222.94271 ns;
623;1010;13279104.13966 ns;
624;1016;13542623.72479 ns;
625;1053;13216583.98956 ns;
