ID;HW;TIME
621;129;1483932.13749 ns;
622;129;1476365.14157 ns;
623;137;1475811.00464 ns;
624;129;1479355.61836 ns;
625;118;1504108.30975 ns;
626;130;1480965.87509 ns;
627;126;1475664.78699 ns;
628;134;1480472.27412 ns;
629;127;1473804.93581 ns;
630;116;1513944.93878 ns;
631;125;1474806.10758 ns;
632;126;1477019.86134 ns;
633;115;1477654.09201 ns;
634;131;1476310.19354 ns;
635;123;1479792.40865 ns;
636;132;1528050.75049 ns;
637;124;1481567.50947 ns;
638;131;1493108.45882 ns;
639;137;1473769.54556 ns;
640;126;1475714.14709 ns;
641;147;1475956.29096 ns;
642;121;1480286.00961 ns;
643;125;1476490.87012 ns;
644;121;1478690.65404 ns;
645;146;1475079.91642 ns;
646;132;1479659.22952 ns;
647;133;1495111.73368 ns;
648;127;1476384.69934 ns;
649;123;1475018.44913 ns;
650;128;1475127.41387 ns;
651;125;1477991.23079 ns;
652;135;1475811.00464 ns;
653;121;1479072.49629 ns;
654;136;1475983.29931 ns;
655;131;1481008.71593 ns;
656;127;1473500.39333 ns;
657;132;1475902.27425 ns;
658;122;1506403.08857 ns;
659;121;1475128.34519 ns;
660;135;1481052.48809 ns;
661;113;1475878.05986 ns;
662;135;1481330.95354 ns;
663;125;1475108.78742 ns;
664;146;1498735.50981 ns;
665;137;1475630.32806 ns;
666;129;1474462.44955 ns;
667;119;1480117.44022 ns;
668;113;1475532.53919 ns;
669;118;1479310.91487 ns;
670;119;1474346.96555 ns;
671;125;1479145.13946 ns;
672;119;1476058.73644 ns;
673;134;1476877.36899 ns;
674;112;1474028.45323 ns;
675;133;1475813.79861 ns;
676;121;1482267.86405 ns;
677;124;1493913.12152 ns;
678;129;1478703.69256 ns;
679;131;1477262.00521 ns;
680;128;1481649.46586 ns;
681;128;1476772.12954 ns;
682;150;1615962.01360 ns;
683;126;1474194.22865 ns;
684;110;1474738.12103 ns;
685;116;1480458.30429 ns;
686;127;1493637.45004 ns;
687;114;1478679.47817 ns;
688;131;1527201.38431 ns;
689;126;1483276.48640 ns;
690;122;1496297.30731 ns;
691;130;1493450.25420 ns;
692;128;1475066.87790 ns;
693;128;1514195.46455 ns;
694;121;1514630.39219 ns;
695;133;1512059.94189 ns;
696;130;1518645.32381 ns;
697;132;1513149.58930 ns;
698;129;1519508.65984 ns;
699;145;1513292.08165 ns;
700;131;1516365.44615 ns;
701;139;1512264.83285 ns;
702;123;1517320.98311 ns;
703;131;1513490.45336 ns;
704;128;1517368.48056 ns;
705;119;1527452.84140 ns;
706;125;1517997.12330 ns;
707;136;1532766.03669 ns;
708;121;1518212.25882 ns;
709;139;1512713.73034 ns;
710;130;1518283.03933 ns;
711;120;1515395.00803 ns;
712;125;1513275.31785 ns;
713;135;1473175.36175 ns;
714;133;1473627.05320 ns;
715;136;1480522.56554 ns;
716;120;1474693.41755 ns;
717;112;1477289.01356 ns;
718;135;1474536.02403 ns;
719;136;1481053.41941 ns;
720;129;1474685.96697 ns;
721;129;1475604.25103 ns;
722;134;1506219.61802 ns;
723;132;1476261.76476 ns;
724;136;1478983.08933 ns;
725;128;1474892.72058 ns;
726;135;1481485.55309 ns;
727;135;1495459.11700 ns;
728;123;1479811.96642 ns;
729;128;1488125.88304 ns;
730;130;1494605.09419 ns;
731;127;1480687.40964 ns;
732;131;1476773.99218 ns;
733;130;1499253.32516 ns;
734;126;1475314.60971 ns;
735;133;1483550.29523 ns;
736;121;1474931.83613 ns;
737;136;1480069.94277 ns;
738;134;1473126.00166 ns;
739;136;1512555.40550 ns;
740;118;1515354.02983 ns;
741;137;1475669.44361 ns;
742;128;1480489.03793 ns;
743;126;1475179.56793 ns;
744;124;1478109.50875 ns;
745;124;1475369.55774 ns;
746;136;1498498.95388 ns;
747;129;1475381.66493 ns;
748;121;1479430.12416 ns;
749;118;1475393.77213 ns;
750;135;1474861.98694 ns;
751;132;1495011.15084 ns;
752;120;1534832.64148 ns;
753;127;1481854.35683 ns;
754;118;1475935.80186 ns;
755;118;1477542.33330 ns;
756;127;1473704.35297 ns;
757;135;1489015.29610 ns;
758;122;1476498.32070 ns;
759;116;1594631.00135 ns;
760;124;1474821.94006 ns;
761;124;1473384.90933 ns;
762;121;1480063.42351 ns;
763;134;1474790.27510 ns;
764;138;1480638.98087 ns;
765;133;1473055.22114 ns;
766;124;1538952.81255 ns;
767;130;1474649.64539 ns;
768;131;1474300.39942 ns;
769;126;1475201.91967 ns;
770;137;1475432.88767 ns;
771;111;1479634.08381 ns;
772;129;1477529.29479 ns;
773;129;1479962.84068 ns;
774;129;1527992.07717 ns;
775;142;1498905.94184 ns;
776;134;1474875.02545 ns;
777;133;1521389.93144 ns;
778;138;1473308.54088 ns;
779;132;1473919.48849 ns;
780;120;1543497.66672 ns;
781;138;1511729.32237 ns;
782;124;1547170.80295 ns;
783;133;1516166.14312 ns;
784;131;1517310.73856 ns;
785;133;1511607.31912 ns;
786;121;1482427.12021 ns;
787;133;1495078.20606 ns;
788;132;1498918.98036 ns;
789;122;1476596.10957 ns;
790;117;1479849.21932 ns;
791;113;1535142.77190 ns;
792;119;1474196.09129 ns;
793;138;1481016.16651 ns;
794;131;1472106.20344 ns;
795;117;1483283.93698 ns;
796;129;1476226.37451 ns;
797;126;1479187.04897 ns;
798;124;1475648.02319 ns;
799;122;1499843.78368 ns;
800;125;1493326.38830 ns;
801;137;1476781.44276 ns;
802;126;1500814.22180 ns;
803;127;1514729.11239 ns;
804;135;1479535.36361 ns;
805;121;1474362.79804 ns;
806;145;1478892.75104 ns;
807;139;1482012.68166 ns;
808;118;1479576.34181 ns;
809;121;1494552.94013 ns;
810;116;1474048.94233 ns;
811;130;1579026.69162 ns;
812;130;1475483.17909 ns;
813;118;1479824.07361 ns;
814;128;1475394.70345 ns;
815;139;1516838.55802 ns;
816;132;1537871.54704 ns;
817;129;1481623.38883 ns;
818;129;1475737.43016 ns;
819;136;1475187.94984 ns;
820;148;1474593.76603 ns;
821;127;1476270.14667 ns;
822;128;1480260.86390 ns;
823;125;1494308.93362 ns;
824;135;1480612.90383 ns;
825;130;1475900.41161 ns;
826;113;1519303.76887 ns;
827;124;1513136.55078 ns;
828;144;1609925.18067 ns;
829;135;1474666.40919 ns;
830;134;1476513.22186 ns;
831;128;1481934.45057 ns;
832;137;1474801.45097 ns;
833;127;1481383.10760 ns;
834;124;1495526.17222 ns;
835;141;1478731.63223 ns;
836;131;1474317.16323 ns;
837;125;1478498.80159 ns;
838;126;1473860.81517 ns;
839;122;1471720.63589 ns;
840;121;1480399.63096 ns;
841;127;1474219.37436 ns;
842;120;1480410.80683 ns;
843;124;1506194.47231 ns;
844;133;1499043.77759 ns;
845;140;1474835.90990 ns;
846;140;1480123.95948 ns;
847;112;1475016.58648 ns;
848;119;1496134.32586 ns;
849;113;1499004.66204 ns;
850;131;1476041.04131 ns;
851;139;1620704.30815 ns;
852;129;1476557.92534 ns;
853;117;1479655.50423 ns;
854;128;1513481.14014 ns;
855;127;1479490.66013 ns;
856;138;1494119.87513 ns;
857;122;1557590.43992 ns;
858;129;1474648.71407 ns;
859;123;1538830.80930 ns;
860;138;1479993.57432 ns;
861;134;1474739.98368 ns;
862;134;1488332.63665 ns;
863;123;1476859.67386 ns;
864;135;1480446.19709 ns;
865;118;1513530.50023 ns;
866;118;1526705.92070 ns;
867;129;1519181.76562 ns;
868;123;1569930.46403 ns;
869;129;1519438.81065 ns;
870;128;1530014.90980 ns;
871;124;1539212.65155 ns;
872;120;1519589.68490 ns;
873;127;1520636.49148 ns;
874;111;1534859.64984 ns;
875;124;1516618.76589 ns;
876;127;1521259.54628 ns;
877;133;1523310.31859 ns;
878;117;1519153.82594 ns;
879;126;1520101.91232 ns;
880;122;1519461.16239 ns;
881;128;1522406.93569 ns;
882;132;1601722.09144 ns;
883;129;1518063.24720 ns;
884;124;1523410.90143 ns;
885;125;1605232.24622 ns;
886;133;1525882.63154 ns;
887;129;1502900.38437 ns;
888;122;1476347.44644 ns;
889;135;1499277.53955 ns;
